App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-error-prone;BugPatternValidatorTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\annotation\src\test\java\com\google\errorprone\BugPatternValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\annotation\src\main\java\com\google\errorprone\BugPatternValidator.java;181;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
test-smells-error-prone;AndroidImportOrganizerTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\apply\AndroidImportOrganizerTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\apply\AndroidImportOrganizer.java;113;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-error-prone;BasicImportOrganizerTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\apply\BasicImportOrganizerTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\apply\BasicImportOrganizer.java;93;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-error-prone;StubImportBuilder;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\apply\ImportStatementsTest.java;;525;7;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone;OrganizedImportsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\apply\OrganizedImportsTest.java;;77;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;SourceFileTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\apply\SourceFileTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\apply\SourceFile.java;116;12;6;3;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-error-prone;AccessPathStoreTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\dataflow\AccessPathStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\dataflow\AccessPathStore.java;51;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;LocalStoreTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\dataflow\LocalStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\dataflow\LocalStore.java;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;NonNullAssumptionsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\dataflow\nullnesspropagation\NonNullAssumptionsTest.java;;154;6;0;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;2;1;0;0;0
test-smells-error-prone;NullnessTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\dataflow\nullnesspropagation\NullnessTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\dataflow\nullnesspropagation\Nullness.java;89;3;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;ErrorProneFlagsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\ErrorProneFlagsTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\ErrorProneFlags.java;164;10;17;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-error-prone;ErrorProneOptionsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\ErrorProneOptionsTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\ErrorProneOptions.java;265;20;20;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5
test-smells-error-prone;AppliedFixTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\fixes\AppliedFixTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\fixes\AppliedFix.java;176;10;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-error-prone;BranchedSuggestedFixesTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\fixes\BranchedSuggestedFixesTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\fixes\BranchedSuggestedFixes.java;69;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-error-prone;ReplacementsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\fixes\ReplacementsTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\fixes\Replacements.java;166;10;5;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
test-smells-error-prone;MyChecker;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\matchers\DescriptionTest.java;;127;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;StringLiteralTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\matchers\StringLiteralTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\matchers\StringLiteral.java;118;2;2;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-error-prone;NamingConventionsTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\names\NamingConventionsTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\names\NamingConventions.java;110;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-error-prone;NeedlemanWunschEditDistanceTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\names\NeedlemanWunschEditDistanceTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\names\NeedlemanWunschEditDistance.java;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-error-prone;TermEditDistanceTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\test\java\com\google\errorprone\names\TermEditDistanceTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\check_api\src\main\java\com\google\errorprone\names\TermEditDistance.java;65;3;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-error-prone;AmbiguousMethodReferenceTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\test\java\com\google\errorprone\bugpatterns\AmbiguousMethodReferenceTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\main\java\com\google\errorprone\bugpatterns\AmbiguousMethodReference.java;213;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;BinderIdentityRestoredDangerouslyTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\test\java\com\google\errorprone\bugpatterns\android\BinderIdentityRestoredDangerouslyTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\main\java\com\google\errorprone\bugpatterns\android\BinderIdentityRestoredDangerously.java;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;BundleDeserializationCastTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\test\java\com\google\errorprone\bugpatterns\android\BundleDeserializationCastTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\main\java\com\google\errorprone\bugpatterns\android\BundleDeserializationCast.java;283;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;FragmentInjectionTest;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\test\java\com\google\errorprone\bugpatterns\android\FragmentInjectionTest.java;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\main\java\com\google\errorprone\bugpatterns\android\FragmentInjection.java;298;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone;CustomFragmentNotInstantiable;C:\Users\crist\.jnose_projects\test-smells-error-prone\core\src\test\java\com\google\errorprone\bugpatterns\android\FragmentNotInstantiableTest.java;;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
