App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-gitiles;RegionJsonData;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\blame\BlameServletTest.java;;79;5;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-gitiles;ConfigUtilTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\ConfigUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\ConfigUtil.java;87;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1
test-smells-gitiles;DateFormatterTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\DateFormatterTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\DateFormatter.java;88;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-gitiles;DiffServletTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\DiffServletTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\DiffServlet.java;117;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gitiles;DocServletTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\doc\DocServletTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\doc\DocServlet.java;190;11;21;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0
test-smells-gitiles;LinkTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\doc\LinkTest.java;;270;24;56;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
test-smells-gitiles;PathResolverTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\doc\PathResolverTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\doc\PathResolver.java;55;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gitiles;GitilesFilterTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\GitilesFilterTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\GitilesFilter.java;177;3;100;0;0;0;0;0;0;65;0;0;0;0;0;2;0;0;19;0;0;0;0
test-smells-gitiles;GitilesUrlsTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\GitilesUrlsTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\GitilesUrls.java;56;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gitiles;GitilesViewTest;C:\Users\crist\.jnose_projects\test-smells-gitiles\javatests\com\google\gitiles\GitilesViewTest.java;C:\Users\crist\.jnose_projects\test-smells-gitiles\java\com\google\gitiles\GitilesView.java;867;33;237;31;0;0;0;9;0;0;0;0;0;0;0;9;0;0;0;0;0;0;26
