App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-google-java-format;ArrayDimensionTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\ArrayDimensionTest.java;;101;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-google-java-format;CommandLineFlagsTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\CommandLineFlagsTest.java;;176;8;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;14;0;0;0
test-smells-google-java-format;CommandLineOptionsParserTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\CommandLineOptionsParserTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\CommandLineOptionsParser.java;189;18;17;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-google-java-format;DiagnosticTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\DiagnosticTest.java;;220;12;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-google-java-format;FormattingFilerTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\filer\FormattingFilerTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\filer\FormattingFiler.java;150;5;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6
test-smells-google-java-format;FormatterIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\FormatterIntegrationTest.java;;142;10;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-google-java-format;FormatterTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\FormatterTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\Formatter.java;474;34;14;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;3
test-smells-google-java-format;ImportOrdererTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\ImportOrdererTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\ImportOrderer.java;449;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-google-java-format;JavadocFormattingTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\JavadocFormattingTest.java;;1418;62;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0
test-smells-google-java-format;LineRangesToCharRangesTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\LineRangesToCharRangesTest.java;;64;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-google-java-format;MainTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\MainTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\Main.java;512;21;28;16;1;0;0;0;0;0;0;0;0;0;0;3;0;1;1;3;0;0;2
test-smells-google-java-format;ModifierOrdererTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\ModifierOrdererTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\ModifierOrderer.java;106;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-google-java-format;PartialFormattingTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\PartialFormattingTest.java;;1799;70;23;0;0;0;0;3;0;0;9;0;0;0;0;14;0;0;3;0;0;0;0
test-smells-google-java-format;RemoveUnusedImportsTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\RemoveUnusedImportsTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\RemoveUnusedImports.java;284;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-google-java-format;SnippetFormatterTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\SnippetFormatterTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\SnippetFormatter.java;107;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-google-java-format;TypeNameClassifierTest;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\test\java\com\google\googlejavaformat\java\TypeNameClassifierTest.java;C:\Users\crist\.jnose_projects\test-smells-google-java-format\core\src\main\java\com\google\googlejavaformat\java\TypeNameClassifier.java;74;4;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
