App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-guava;UnmodifiableCollectionTests;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\google\UnmodifiableCollectionTests.java;;415;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;IncompatibleKeyType;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\MapInterfaceTest.java;;1620;1;74;0;0;0;0;0;2;11;55;0;0;0;0;3;0;0;8;112;0;0;0
test-smells-guava;TestsForListsInJavaUtil;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\TestsForListsInJavaUtil.java;;338;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;NullFriendlyComparator;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\TestsForMapsInJavaUtil.java;;477;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;TestsForQueuesInJavaUtil;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\TestsForQueuesInJavaUtil.java;;220;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;NullFriendlyComparator;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\collect\testing\TestsForSetsInJavaUtil.java;;446;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;AbstractPackageSanityTests;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\testing\AbstractPackageSanityTests.java;;443;22;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-guava;AbstractListenableFutureTest;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\src\com\google\common\util\concurrent\testing\AbstractListenableFutureTest.java;;247;10;13;0;0;0;0;0;0;4;3;0;1;0;0;4;0;0;3;1;0;0;0
test-smells-guava;FeatureEnumTest;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\test\com\google\common\collect\testing\features\FeatureEnumTest.java;;116;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-guava;ConflictingRequirementsExampleDerivedInterfaceTester;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\test\com\google\common\collect\testing\features\FeatureUtilTest.java;;271;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
test-smells-guava;MyTestSuiteBuilder;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\test\com\google\common\collect\testing\FeatureSpecificTestSuiteBuilderTest.java;;88;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-guava;HelpersTest;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\test\com\google\common\collect\testing\HelpersTest.java;C:\Users\crist\.jnose_projects\test-smells-guava\guava-testlib\src\com\google\common\collect\testing\Helpers.java;184;7;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;15;0;0;1
test-smells-guava;ThrowingIterator;C:\Users\crist\.jnose_projects\test-smells-guava\android\guava-testlib\test\com\google\common\collect\testing\IteratorTesterTest.java;;357;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
