App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-j2cl;AllTests;C:\Users\crist\.jnose_projects\test-smells-j2cl\jre\javatests\com\google\gwt\emultest\AllTests.java;;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;ThrowableStackTraceEmulTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\jre\javatests\com\google\gwt\emultest\java\lang\ThrowableStackTraceEmulTest.java;;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;EnumMapTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\jre\javatests\com\google\gwt\emultest\java\util\EnumMapTest.java;C:\Users\crist\.jnose_projects\test-smells-j2cl\transpiler\javatests\com\google\j2cl\transpiler\readable\bridgemethodcasts\EnumMap.java;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;GWTTestCase;C:\Users\crist\.jnose_projects\test-smells-j2cl\jre\javatests\com\google\gwt\junit\client\GWTTestCase.java;;49;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;AssertTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\emul\javatests\junit\framework\AssertTest.java;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\emul\java\org\junit\Assert.java;236;34;1;2;0;0;0;2;21;14;2;0;0;0;0;0;0;0;0;2;0;0;8
test-smells-j2cl;AssertTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\emul\javatests\org\junit\AssertTest.java;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\emul\java\org\junit\Assert.java;261;38;1;4;0;0;0;2;21;14;2;0;0;0;0;0;0;0;0;3;0;0;9
test-smells-j2cl;J2clTestingProcessingStepTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\apt\J2clTestingProcessingStepTest.java;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\java\com\google\j2cl\junit\apt\J2clTestingProcessingStep.java;238;29;18;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;Simple;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\apt\MethodSorterTest.java;;93;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;SimpleJUnit3TestCase;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\apt\SimpleJUnit3TestCase.java;;35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestAfterWithFailingAsyncTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestAfterWithFailingAsyncTest.java;;51;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestChainingWithException;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestChainingWithException.java;;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestNonAsyncTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestNonAsyncTest.java;;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestResolvesAfterDelay;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestResolvesAfterDelay.java;;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestReturnsNullForPromise;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestReturnsNullForPromise.java;;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestReturnsVoidTimeoutProvided;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestReturnsVoidTimeoutProvided.java;;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestReturnTypeNotStructuralPromise;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestReturnTypeNotStructuralPromise.java;;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;Thenable;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestReturnTypeNotStructuralPromiseThenParameterCount.java;;36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;Thenable;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestReturnTypeNotStructuralPromiseThenParameterNotJsType.java;;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestTimeOutNotProvided;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestTimeOutNotProvided.java;;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestWillTimeOut;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestWillTimeOut.java;;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestWithExpectedException;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestWithExpectedException.java;;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;TestWithLifeCycleMethodBeingAsync;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\data\TestWithLifeCycleMethodBeingAsync.java;;34;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-j2cl;J2clAsyncTest;C:\Users\crist\.jnose_projects\test-smells-j2cl\junit\generator\javatests\com\google\j2cl\junit\integration\async\J2clAsyncTest.java;;266;12;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
