App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-jimfs;AbstractAttributeProviderTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AbstractAttributeProviderTest.java;;139;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jimfs;AbstractGlobMatcherTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AbstractGlobMatcherTest.java;;189;9;45;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-jimfs;FileTimeTester;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AbstractJimfsIntegrationTest.java;;122;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jimfs;PatternAsserter;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AbstractPathMatcherTest.java;;264;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jimfs;AbstractWatchServiceTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AbstractWatchServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\main\java\com\google\common\jimfs\AbstractWatchService.java;257;11;37;8;0;0;0;0;0;1;2;0;0;0;0;2;0;0;7;4;0;0;16
test-smells-jimfs;AclAttributeProviderTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AclAttributeProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\main\java\com\google\common\jimfs\AclAttributeProvider.java;121;9;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-jimfs;AttributeServiceTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\AttributeServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\main\java\com\google\common\jimfs\AttributeService.java;398;24;44;9;20;0;0;0;0;0;0;0;0;0;0;1;0;20;9;16;0;0;5
test-smells-jimfs;BasicAttributeProviderTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\BasicAttributeProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\main\java\com\google\common\jimfs\BasicAttributeProvider.java;153;8;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3
test-smells-jimfs;ClassLoaderTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\ClassLoaderTest.java;;122;3;3;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-jimfs;ConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\test\java\com\google\common\jimfs\ConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-jimfs\jimfs\src\main\java\com\google\common\jimfs\Configuration.java;369;19;72;9;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;7;0;0;14
