App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-nomulus;CoverPageGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\gradle\buildSrc\src\test\java\google\registry\gradle\plugin\CoverPageGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\gradle\buildSrc\src\main\java\google\registry\gradle\plugin\CoverPageGenerator.java;287;21;26;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0
test-smells-nomulus;GcsPluginUtilsTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\gradle\buildSrc\src\test\java\google\registry\gradle\plugin\GcsPluginUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\gradle\buildSrc\src\main\java\google\registry\gradle\plugin\GcsPluginUtils.java;296;16;16;0;8;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0
test-smells-nomulus;CommitLogCheckpointActionTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\CommitLogCheckpointActionTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\backup\CommitLogCheckpointAction.java;104;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nomulus;FakeSupplier;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\CommitLogCheckpointStrategyTest.java;;311;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-nomulus;DeleteOldCommitLogsActionTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\DeleteOldCommitLogsActionTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\backup\DeleteOldCommitLogsAction.java;138;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nomulus;ExportCommitLogDiffActionTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\ExportCommitLogDiffActionTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\backup\ExportCommitLogDiffAction.java;463;16;12;0;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;1
test-smells-nomulus;GcsDiffFileListerTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\GcsDiffFileListerTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\backup\GcsDiffFileLister.java;242;17;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-nomulus;RestoreCommitLogsActionTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\backup\RestoreCommitLogsActionTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\backup\RestoreCommitLogsAction.java;300;20;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-nomulus;AsyncTaskEnqueuerTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\batch\AsyncTaskEnqueuerTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\batch\AsyncTaskEnqueuer.java;140;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nomulus;AsyncTaskMetricsTest;C:\Users\crist\.jnose_projects\test-smells-nomulus\javatests\google\registry\batch\AsyncTaskMetricsTest.java;C:\Users\crist\.jnose_projects\test-smells-nomulus\java\google\registry\batch\AsyncTaskMetrics.java;51;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
