App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-rejoiner;ExecutionResultToProtoAsyncTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\execution\ExecutionResultToProtoAsyncTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\execution\ExecutionResultToProtoAsync.java;114;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-rejoiner;QueryResponseToProtoTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\grpc\QueryResponseToProtoTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\grpc\QueryResponseToProto.java;53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rejoiner;SchemaToProtoTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\grpc\SchemaToProtoTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\grpc\SchemaToProto.java;154;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
test-smells-rejoiner;GqlInputConverterTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\GqlInputConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\GqlInputConverter.java;82;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rejoiner;ProtoRegistryTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\ProtoRegistryTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\ProtoRegistry.java;50;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rejoiner;ProtoToGqlTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\ProtoToGqlTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\ProtoToGql.java;119;7;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-rejoiner;GreetingsAddonSchemaModule;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\RejoinerIntegrationTest.java;;204;1;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rejoiner;SchemaModuleTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\SchemaModuleTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\SchemaModule.java;277;14;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-rejoiner;SchemaProviderModuleTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\SchemaProviderModuleTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\SchemaProviderModule.java;90;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rejoiner;TypeTest;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\test\java\com\google\api\graphql\rejoiner\TypeTest.java;C:\Users\crist\.jnose_projects\test-smells-rejoiner\rejoiner\src\main\java\com\google\api\graphql\rejoiner\Type.java;97;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
