App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ambry;HelixAccountServiceTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-account\src\test\java\com\github\ambry\account\HelixAccountServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-account\src\main\java\com\github\ambry\account\HelixAccountService.java;950;76;0;8;0;0;0;0;0;9;8;0;0;0;0;3;0;0;3;4;0;0;3
test-smells-ambry;InMemoryUnknownAccountServiceTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-account\src\test\java\com\github\ambry\account\InMemoryUnknownAccountServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-account\src\main\java\com\github\ambry\account\InMemoryUnknownAccountService.java;111;6;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;3;0;0;2
test-smells-ambry;StitchRequestSerDeTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com\github\ambry\frontend\StitchRequestSerDeTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\frontend\StitchRequestSerDe.java;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;AccountContainerTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\account\AccountContainerTest.java;;1065;56;4;0;0;0;0;0;8;3;11;0;0;0;0;7;0;0;2;1;0;0;0
test-smells-ambry;ReplicaStatusDelegateTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\clustermap\ReplicaStatusDelegateTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\clustermap\ReplicaStatusDelegate.java;55;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;CommonUtilsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\commons\CommonUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\commons\CommonUtils.java;89;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;3;0;0;0
test-smells-ambry;TestNoOpMetricsRegistry;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\metrics\TestNoOpMetricsRegistry.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\metrics\NoOpMetricsRegistry.java;47;1;6;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;RestRequestMetricsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\rest\RestRequestMetricsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\rest\RestRequestMetrics.java;60;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0
test-smells-ambry;RestRequestMetricsTrackerTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\rest\RestRequestMetricsTrackerTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\rest\RestRequestMetricsTracker.java;220;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0
test-smells-ambry;RestUtilsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\rest\RestUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\rest\RestUtils.java;1154;36;2;5;0;0;0;0;0;8;25;0;0;0;0;9;0;0;6;7;0;0;3
test-smells-ambry;ByteRangeTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\router\ByteRangeTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\router\ByteRange.java;243;9;0;5;0;0;0;2;0;24;6;0;0;0;0;1;0;0;7;0;0;0;6
test-smells-ambry;GetBlobOptionsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\router\GetBlobOptionsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\router\GetBlobOptions.java;148;7;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-ambry;PutBlobOptionsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\router\PutBlobOptionsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\router\PutBlobOptions.java;55;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;StatsSnapshotTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\server\StatsSnapshotTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\server\StatsSnapshot.java;70;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;MessageInfoTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\test\java\com.github.ambry\store\MessageInfoTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-api\src\main\java\com.github.ambry\store\MessageInfo.java;102;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-ambry;AzureCloudDestinationTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\test\java\com.github.ambry.cloud\azure\AzureCloudDestinationTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\main\java\com.github.ambry.cloud\azure\AzureCloudDestination.java;272;31;0;1;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;1;0;0;2
test-smells-ambry;AzureIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\test\java\com.github.ambry.cloud\azure\AzureIntegrationTest.java;;163;11;1;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0
test-smells-ambry;CloudBlobStoreTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\test\java\com.github.ambry.cloud\CloudBlobStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\main\java\com.github.ambry.cloud\CloudBlobStore.java;226;16;4;2;0;0;0;0;0;0;4;0;3;0;0;0;0;0;2;6;0;0;4
test-smells-ambry;CloudDataNodeTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\test\java\com.github.ambry.cloud\CloudDataNodeTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\main\java\com.github.ambry.cloud\CloudDataNode.java;58;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;CloudReplicaTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\test\java\com.github.ambry.cloud\CloudReplicaTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-cloud\src\main\java\com.github.ambry.cloud\CloudReplica.java;65;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambry;ClusterMapUtilsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\ClusterMapUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\main\java\com.github.ambry.clustermap\ClusterMapUtils.java;276;7;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;3;2;0;0;0
test-smells-ambry;DatacenterTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\DatacenterTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\main\java\com.github.ambry.clustermap\Datacenter.java;145;12;9;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0
test-smells-ambry;DataNodeTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\DataNodeTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\main\java\com.github.ambry.clustermap\DataNode.java;253;11;12;3;0;0;0;0;0;1;1;0;0;0;0;4;0;0;4;2;0;0;1
test-smells-ambry;DiskTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\DiskTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\main\java\com.github.ambry.clustermap\Disk.java;152;6;8;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;1
test-smells-ambry;DynamicClusterManagerComponentsTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\DynamicClusterManagerComponentsTest.java;;292;12;43;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;7;10;0;0;0
test-smells-ambry;FixedBackoffResourceStatePolicyTest;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\test\java\com.github.ambry.clustermap\FixedBackoffResourceStatePolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-ambry\ambry-clustermap\src\main\java\com.github.ambry.clustermap\FixedBackoffResourceStatePolicy.java;121;9;14;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;2
