App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-li-apache-kafka-clients;ConfigureAuditorTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\integration-tests\src\test\java\com\linkedin\kafka\clients\auditing\ConfigureAuditorTest.java;;80;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-li-apache-kafka-clients;LiKafkaConsumerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\integration-tests\src\test\java\com\linkedin\kafka\clients\consumer\LiKafkaConsumerIntegrationTest.java;;1792;54;30;0;0;0;0;1;0;42;44;0;0;0;0;19;0;0;11;36;0;0;0
test-smells-li-apache-kafka-clients;LargeMessageIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\integration-tests\src\test\java\com\linkedin\kafka\clients\largemessage\LargeMessageIntegrationTest.java;;150;9;0;0;0;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;LiKafkaProducerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\integration-tests\src\test\java\com\linkedin\kafka\clients\producer\LiKafkaProducerIntegrationTest.java;;190;7;5;0;0;0;0;0;0;4;7;0;0;0;0;1;0;0;0;8;0;0;0
test-smells-li-apache-kafka-clients;EmbeddedBrokerTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\kafka-test-harness\src\test\java\com\linkedin\kafka\clients\utils\tests\EmbeddedBrokerTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\kafka-test-harness\src\main\java\com\linkedin\kafka\clients\utils\tests\EmbeddedBroker.java;36;1;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-li-apache-kafka-clients;EmbeddedZookeeperTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\kafka-test-harness\src\test\java\com\linkedin\kafka\clients\utils\tests\EmbeddedZookeeperTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\kafka-test-harness\src\main\java\com\linkedin\kafka\clients\utils\tests\EmbeddedZookeeper.java;47;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-li-apache-kafka-clients;AbstractAuditorTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\auditing\abstractimpl\AbstractAuditorTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\auditing\abstractimpl\AbstractAuditor.java;298;7;1;3;0;0;0;0;0;12;10;0;0;0;0;2;0;0;3;1;0;0;16
test-smells-li-apache-kafka-clients;CountingAuditStatsTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\auditing\abstractimpl\CountingAuditStatsTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\auditing\abstractimpl\CountingAuditStats.java;82;7;0;1;0;0;0;0;0;2;5;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-li-apache-kafka-clients;MockConsumerBuilder;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\consumer\LiKafkaFederatedConsumerImplTest.java;;124;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;ConsumerRecordsProcessorTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\ConsumerRecordsProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\largemessage\ConsumerRecordsProcessor.java;415;14;6;6;0;0;0;0;0;28;0;0;0;0;0;4;0;0;1;3;0;0;4
test-smells-li-apache-kafka-clients;LageMessageCallbackTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\LageMessageCallbackTest.java;;68;3;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;LargeMessageBufferPoolTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\LargeMessageBufferPoolTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\largemessage\LargeMessageBufferPool.java;284;9;0;9;0;0;0;0;0;52;0;0;0;0;0;4;0;0;10;5;0;0;5
test-smells-li-apache-kafka-clients;LargeMessageTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\LargeMessageTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\largemessage\LargeMessage.java;104;7;1;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2
test-smells-li-apache-kafka-clients;MessageAssemblerTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\MessageAssemblerTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\largemessage\MessageAssembler.java;57;3;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-li-apache-kafka-clients;MessageSplitterTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\MessageSplitterTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\largemessage\MessageSplitter.java;61;1;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;SerializerDeserializerTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\largemessage\SerializerDeserializerTest.java;;50;1;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;MockProducerBuilder;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\producer\LiKafkaFederatedProducerImplTest.java;;150;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-li-apache-kafka-clients;QueuedMapTest;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\test\java\com\linkedin\kafka\clients\utils\QueuedMapTest.java;C:\Users\crist\.jnose_projects\test-smells-li-apache-kafka-clients\li-apache-kafka-clients\src\main\java\com\linkedin\kafka\clients\utils\QueuedMap.java;58;3;0;3;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;5
