App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-rest.li;TestBackupRequestsStrategyFactory;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\backuprequests\TestBackupRequestsStrategyFactory.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\backuprequests\BackupRequestsStrategyFactory.java;82;2;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-rest.li;TestBoundedCostBackupRequestsStrategy;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\backuprequests\TestBoundedCostBackupRequestsStrategy.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\backuprequests\BoundedCostBackupRequestsStrategy.java;147;14;1;1;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-rest.li;TestLatencyMetric;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\backuprequests\TestLatencyMetric.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\backuprequests\LatencyMetric.java;136;5;1;2;0;0;0;0;0;3;5;0;0;0;0;1;0;0;1;3;0;0;2
test-smells-rest.li;TestTrackingBackupRequestsStrategy;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\backuprequests\TestTrackingBackupRequestsStrategy.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\backuprequests\TrackingBackupRequestsStrategy.java;312;7;90;5;0;0;0;0;0;55;12;0;0;0;0;3;0;0;32;0;0;0;18
test-smells-rest.li;DynamicClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\DynamicClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\DynamicClient.java;131;4;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-rest.li;LazyClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\LazyClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\LazyClient.java;151;3;17;2;0;0;0;0;0;15;0;0;0;0;0;1;0;0;3;0;0;0;6
test-smells-rest.li;RequestTimeoutClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\RequestTimeoutClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\RequestTimeoutClient.java;118;4;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-rest.li;RetryClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\RetryClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\RetryClient.java;283;14;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6
test-smells-rest.li;RewriteLoadBalancerClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\RewriteLoadBalancerClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\RewriteLoadBalancerClient.java;222;9;26;5;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4
test-smells-rest.li;TestBackupRequestsClient;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\TestBackupRequestsClient.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\BackupRequestsClient.java;774;27;76;3;0;0;0;0;0;38;4;0;1;0;0;6;0;0;8;1;0;0;8
test-smells-rest.li;TrackerClientTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\clients\TrackerClientTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\clients\TrackerClient.java;470;9;48;4;0;0;0;0;0;48;0;0;0;0;0;2;0;0;6;0;0;0;40
test-smells-rest.li;BackupRequestsConverterTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\config\BackupRequestsConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\config\BackupRequestsConverter.java;40;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-rest.li;DegraderPropertiesConverterTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\config\DegraderPropertiesConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\config\DegraderPropertiesConverter.java;96;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-rest.li;LoadBalancerStrategyPropertiesConverterTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\config\LoadBalancerStrategyPropertiesConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\config\LoadBalancerStrategyPropertiesConverter.java;129;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-rest.li;PartitionPropertiesConverterTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\config\PartitionPropertiesConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\config\PartitionPropertiesConverter.java;126;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-rest.li;TransportClientPropertiesConverterTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\config\TransportClientPropertiesConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\config\TransportClientPropertiesConverter.java;119;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-rest.li;ClientServiceConfigValidatorTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\properties\ClientServiceConfigValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\properties\ClientServiceConfigValidator.java;70;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-rest.li;ClusterPropertiesSerializerTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\properties\ClusterPropertiesSerializerTest.java;;86;2;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-rest.li;ServicePropertiesSerializerTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\properties\ServicePropertiesSerializerTest.java;;149;6;5;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-rest.li;UriPropertiesSerializerTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\properties\UriPropertiesSerializerTest.java;;173;5;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
test-smells-rest.li;UriPropertiesTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\properties\UriPropertiesTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\properties\UriProperties.java;100;1;10;1;0;0;0;0;0;5;0;0;0;0;0;1;0;0;1;2;0;0;0
test-smells-rest.li;ZooKeeperAnnouncerTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\servers\ZooKeeperAnnouncerTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\servers\ZooKeeperAnnouncer.java;90;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-rest.li;ZookeeperConnectionManagerTest;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\test\java\com\linkedin\d2\balancer\servers\ZookeeperConnectionManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-rest.li\d2\src\main\java\com\linkedin\d2\balancer\servers\ZooKeeperConnectionManager.java;334;12;21;3;0;0;0;0;0;9;0;0;0;0;0;4;0;0;5;1;0;0;2
