App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-opengrok;AdaSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\ada\AdaSymbolTokenizerTest.java;;66;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-opengrok;AdaXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\ada\AdaXrefTest.java;;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;AnalyzerGuruHelpTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\AnalyzerGuruHelpTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\AnalyzerGuruHelp.java;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;AnalyzerGuruTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\AnalyzerGuruTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\AnalyzerGuru.java;350;26;13;9;0;0;0;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;3
test-smells-opengrok;ZipAnalyzerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\archive\ZipAnalyzerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\archive\ZipAnalyzerFactory.java;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;CAnalyzerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CAnalyzerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\c\CAnalyzerFactory.java;147;8;9;0;1;0;0;0;0;1;5;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-opengrok;CSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CSymbolTokenizerTest.java;;67;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-opengrok;CXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CXrefTest.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;CxxAnalyzerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CxxAnalyzerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\c\CxxAnalyzerFactory.java;166;8;21;0;1;0;0;0;0;1;11;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-opengrok;CxxSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CxxSymbolTokenizerTest.java;;67;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-opengrok;CxxXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\c\CxxXrefTest.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;ClojureAnalyzerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\clojure\ClojureAnalyzerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\clojure\ClojureAnalyzerFactory.java;137;8;11;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-opengrok;ClojureSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\clojure\ClojureSymbolTokenizerTest.java;;68;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-opengrok;ClojureXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\clojure\ClojureXrefTest.java;;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;CSharpAnalyzerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\csharp\CSharpAnalyzerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\csharp\CSharpAnalyzerFactory.java;150;8;11;0;1;0;0;0;0;1;6;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-opengrok;CSharpSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\csharp\CSharpSymbolTokenizerTest.java;;68;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-opengrok;CSharpXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\csharp\CSharpXrefTest.java;;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;CtagsParserTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\CtagsParserTest.java;;153;1;5;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-opengrok;CtagsTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\CtagsTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\Ctags.java;149;9;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;DefinitionsTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\DefinitionsTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\Definitions.java;170;13;17;8;0;0;0;8;0;19;0;0;0;0;0;0;0;0;1;0;0;0;4
test-smells-opengrok;DocumentMatcherTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\document\DocumentMatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\document\DocumentMatcher.java;124;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-opengrok;TroffAnalyzerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\document\TroffAnalyzerTest.java;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\document\TroffAnalyzer.java;150;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;TroffXrefTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\document\TroffXrefTest.java;;58;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opengrok;EiffelSymbolTokenizerTest;C:\Users\crist\.jnose_projects\test-smells-opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\eiffel\EiffelSymbolTokenizerTest.java;;68;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
