App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-visualvm;CacheImplTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\test\unit\src\com\sun\tools\visualvm\api\caching\CacheImplTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\src\org\graalvm\visualvm\api\caching\impl\CacheImpl.java;158;13;6;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2
test-smells-visualvm;SoftReferenceExTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\test\unit\src\com\sun\tools\visualvm\api\caching\impl\SoftReferenceExTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\src\org\graalvm\visualvm\api\caching\impl\SoftReferenceEx.java;99;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-visualvm;WeakReferenceExTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\test\unit\src\com\sun\tools\visualvm\api\caching\impl\WeakReferenceExTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\caching.api\src\org\graalvm\visualvm\api\caching\impl\WeakReferenceEx.java;99;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-visualvm;DefaultScheduledTaskTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\test\unit\src\com\sun\tools\visualvm\core\scheduler\DefaultScheduledTaskTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\src\org\graalvm\visualvm\core\scheduler\DefaultScheduledTask.java;119;12;3;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3
test-smells-visualvm;QuantumTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\test\unit\src\com\sun\tools\visualvm\core\scheduler\QuantumTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\src\org\graalvm\visualvm\core\scheduler\Quantum.java;78;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;SchedulerTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\test\unit\src\com\sun\tools\visualvm\core\scheduler\SchedulerTest.java;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\core\src\org\graalvm\visualvm\core\scheduler\Scheduler.java;357;16;10;9;0;0;0;10;0;0;15;0;0;0;0;4;0;0;5;9;0;0;2
test-smells-visualvm;InstrumentationTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\perf\InstrumentationTest.java;;368;19;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
test-smells-visualvm;BasicTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\BasicTest.java;;98;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-visualvm;JbbTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\benchmarks\JbbTest.java;;150;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;BasicTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\cpu\BasicTest.java;;486;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;CPUSnapshotTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\cpu\CPUSnapshotTest.java;;139;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;BasicTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\memory\BasicTest.java;;141;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;MemorySnapshotTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\memory\MemorySnapshotTest.java;;137;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;BasicTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\monitor\BasicTest.java;;143;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;MeasureDiffsTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\others\MeasureDiffsTest.java;;119;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-visualvm;InstrumentationTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\perf\InstrumentationTest.java;;382;20;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
test-smells-visualvm;BasicTest;C:\Users\crist\.jnose_projects\test-smells-visualvm\visualvm\libs.profiler\lib.profiler\test\qa-functional\src\org\graalvm\visualvm\lib\jfluid\tests\jfluid\wireio\BasicTest.java;;354;11;0;0;0;0;0;0;5;0;11;0;0;0;0;3;0;0;0;5;0;0;0
