App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-rabbitmq-java-client;Pojo;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\AbstractJsonRpcTest.java;;214;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;WorkPoolTests;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\impl\WorkPoolTests.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\impl\WorkPool.java;178;7;29;5;0;0;0;2;0;16;0;0;0;0;0;0;0;0;2;0;0;0;4
test-smells-rabbitmq-java-client;JacksonJsonRpcTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\JacksonJsonRpcTest.java;;72;2;15;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-rabbitmq-java-client;AddressTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\AddressTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\Address.java;90;8;19;0;0;0;0;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-rabbitmq-java-client;AMQBuilderApiTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\AMQBuilderApiTest.java;;84;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
test-smells-rabbitmq-java-client;AMQChannelTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\AMQChannelTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\impl\AMQChannel.java;180;7;5;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;6
test-smells-rabbitmq-java-client;AMQConnectionTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\AMQConnectionTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\impl\AMQConnection.java;329;15;8;3;0;0;0;0;0;5;0;0;3;0;0;0;0;0;1;5;0;0;6
test-smells-rabbitmq-java-client;AmqpUriTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\AmqpUriTest.java;;98;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;BlockingCellTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\BlockingCellTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\utility\BlockingCell.java;159;7;6;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;2
test-smells-rabbitmq-java-client;BrokenFramesTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\BrokenFramesTest.java;;167;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-rabbitmq-java-client;BrokerTestCase;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\BrokerTestCase.java;;354;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;Bug20004Test;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\Bug20004Test.java;;80;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-rabbitmq-java-client;ChannelAsyncCompletableFutureTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ChannelAsyncCompletableFutureTest.java;;114;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-rabbitmq-java-client;ChannelNTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ChannelNTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\impl\ChannelN.java;60;6;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-rabbitmq-java-client;ChannelNumberAllocationTests;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ChannelNumberAllocationTests.java;;128;14;5;0;0;0;0;0;0;10;6;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-rabbitmq-java-client;ChannelRpcTimeoutIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ChannelRpcTimeoutIntegrationTest.java;;136;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-rabbitmq-java-client;ClientTests;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ClientTests.java;;80;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;ClientVersionTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ClientVersionTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\impl\ClientVersion.java;32;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;ClonePropertiesTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ClonePropertiesTest.java;;45;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rabbitmq-java-client;ConnectionFactoryTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ConnectionFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\ConnectionFactory.java;170;4;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-rabbitmq-java-client;ConnectionTest;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\test\java\com\rabbitmq\client\test\ConnectionTest.java;C:\Users\crist\.jnose_projects\test-smells-rabbitmq-java-client\src\main\java\com\rabbitmq\client\Connection.java;132;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
