App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-reactor-core;CoreTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\CoreTest.java;;106;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-reactor-core;DisposablesTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\DisposablesTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\Disposables.java;161;12;6;6;0;0;0;3;0;0;3;0;0;0;0;0;0;0;1;0;0;0;7
test-smells-reactor-core;DisposableTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\DisposableTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\Disposable.java;227;11;13;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0
test-smells-reactor-core;ExceptionsTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\ExceptionsTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\Exceptions.java;323;30;8;6;0;0;0;3;0;0;1;0;1;0;0;0;0;0;2;0;0;0;10
test-smells-reactor-core;ListCompositeDisposableTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\ListCompositeDisposableTest.java;;281;18;34;0;0;0;0;13;0;0;3;0;0;0;0;0;0;0;11;0;0;0;0
test-smells-reactor-core;BaseSubscriberTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\publisher\BaseSubscriberTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\publisher\BaseSubscriber.java;375;10;8;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;2;0;0;0
test-smells-reactor-core;BlockingIterableTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\publisher\BlockingIterableTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\publisher\BlockingIterable.java;317;21;10;0;0;0;0;9;0;4;4;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-reactor-core;BlockingOptionalMonoSubscriberTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\publisher\BlockingOptionalMonoSubscriberTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\publisher\BlockingOptionalMonoSubscriber.java;215;16;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;3
test-smells-reactor-core;BlockingSingleSubscriberTest;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\publisher\BlockingSingleSubscriberTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\main\java\reactor\core\publisher\BlockingSingleSubscriber.java;73;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-core;BlockingTests;C:\Users\crist\.jnose_projects\test-smells-reactor-core\reactor-core\src\test\java\reactor\core\publisher\BlockingTests.java;;451;25;8;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;4;5;0;0;0
