App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-reactor-kafka;SampleScenariosTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-samples\src\test\java\reactor\kafka\samples\SampleScenariosTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-samples\src\main\java\reactor\kafka\samples\SampleScenarios.java;357;21;0;10;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-reactor-kafka;SampleTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-samples\src\test\java\reactor\kafka\samples\SampleTest.java;;52;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;ConsumerPerformanceTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\test\java\reactor\kafka\tools\perf\ConsumerPerformanceTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\main\java\reactor\kafka\tools\perf\ConsumerPerformance.java;82;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;EndToEndLatencyTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\test\java\reactor\kafka\tools\perf\EndToEndLatencyTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\main\java\reactor\kafka\tools\perf\EndToEndLatency.java;58;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;ProducerPerformanceTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\test\java\reactor\kafka\tools\perf\ProducerPerformanceTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\reactor-kafka-tools\src\main\java\reactor\kafka\tools\perf\ProducerPerformance.java;69;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;AbstractKafkaTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\test\java\reactor\kafka\AbstractKafkaTest.java;;238;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;KafkaSchedulersTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\test\java\reactor\kafka\receiver\internals\KafkaSchedulersTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\main\java\reactor\kafka\receiver\internals\KafkaSchedulers.java;86;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-reactor-kafka;MockReceiverTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\test\java\reactor\kafka\receiver\internals\MockReceiverTest.java;;1544;81;9;0;0;0;0;8;0;19;38;0;6;0;0;7;0;0;2;9;0;0;0
test-smells-reactor-kafka;OperatorUtilsTest;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\test\java\reactor\kafka\receiver\internals\OperatorUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\main\java\reactor\kafka\receiver\internals\OperatorUtils.java;41;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reactor-kafka;TestableReceiver;C:\Users\crist\.jnose_projects\test-smells-reactor-kafka\src\test\java\reactor\kafka\receiver\internals\TestableReceiver.java;;138;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
