App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-robolectric;DeprecatedMethodsCheckTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\test\java\org\robolectric\errorprone\bugpatterns\DeprecatedMethodsCheckTest.java;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\main\java\org\robolectric\errorprone\bugpatterns\DeprecatedMethodsCheck.java;229;8;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-robolectric;RobolectricShadowTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\test\java\org\robolectric\errorprone\bugpatterns\RobolectricShadowTest.java;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\main\java\org\robolectric\errorprone\bugpatterns\RobolectricShadow.java;118;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-robolectric;ShadowUsageCheckTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\test\java\org\robolectric\errorprone\bugpatterns\ShadowUsageCheckTest.java;C:\Users\crist\.jnose_projects\test-smells-robolectric\errorprone\src\main\java\org\robolectric\errorprone\bugpatterns\ShadowUsageCheck.java;1279;31;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0
test-smells-robolectric;TestActivityTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\agp\src\test\java\org\robolectric\integration_tests\agp\TestActivityTest.java;C:\Users\crist\.jnose_projects\test-smells-robolectric\testapp\src\main\java\org\robolectric\testapp\TestActivity.java;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-robolectric;ResourcesCompatTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx\src\test\java\androidx\core\content\res\ResourcesCompatTest.java;;26;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-robolectric;BuildCompatTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx\src\test\java\androidx\core\os\BuildCompatTest.java;;80;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-robolectric;LifecycleOwnerActivity;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx_test\src\test\java\org\robolectric\integration_tests\axt\ActivityScenarioTest.java;;176;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-robolectric;TranscriptActivity;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx_test\src\test\java\org\robolectric\integration_tests\axt\ActivityTestRuleTest.java;;158;9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-robolectric;EspressoTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx_test\src\test\java\org\robolectric\integration_tests\axt\EspressoTest.java;;104;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-robolectric;EspressoWithPausedLooperTest;C:\Users\crist\.jnose_projects\test-smells-robolectric\integration_tests\androidx_test\src\test\java\org\robolectric\integration_tests\axt\EspressoWithPausedLooperTest.java;;43;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
