App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-Spring-Integration-in-Action;BatchTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\batch\src\test\java\com\manning\siia\batch\BatchTest.java;;55;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChainTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\ChainTests.java;;52;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;EmailHeaderEnricherTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\EmailHeaderEnricherTests.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\main\java\siia\business\EmailHeaderEnricher.java;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ExpressionBasedHeaderEnricherTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\ExpressionBasedHeaderEnricherTests.java;;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;FlightDelayTransformerIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\FlightDelayTransformerIntegrationTests.java;;64;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;FlightStatusPublisherTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\FlightStatusPublisherTests.java;;58;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;PassengerProfileEnricherTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\test\java\siia\business\PassengerProfileEnricherTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\business\src\main\java\siia\business\PassengerProfileEnricher.java;51;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-Spring-Integration-in-Action;PaintShopConcurrentTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\concurrency\src\test\java\com\manning\siia\pipeline\PaintShopConcurrentTests.java;;49;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;PaintShopDirectTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\concurrency\src\test\java\com\manning\siia\pipeline\PaintShopDirectTests.java;;49;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;AdvancedPollerTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\concurrency\src\test\java\siia\concurrency\AdvancedPollerTests.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;CronPollerTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\concurrency\src\test\java\siia\concurrency\CronPollerTests.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;PollerDefaultAndCustomTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\concurrency\src\test\java\siia\concurrency\PollerDefaultAndCustomTest.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;LegMarshallingTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\domain\src\test\java\siia\booking\domain\trip\LegMarshallingTest.java;;64;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;LegQuoteMarshallingTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\domain\src\test\java\siia\booking\domain\trip\LegQuoteMarshallingTest.java;;104;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;BookingHeaderTests;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\BookingHeaderTests.java;;186;10;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;CancellationsTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\CancellationsTest.java;;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;CancellationsWithExceptionTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\CancellationsWithExceptionTest.java;;69;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;CancellationsWithNotificationTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\CancellationsWithNotificationTest.java;;77;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;FlightNotificationsSpelTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\FlightNotificationsSpelTest.java;;121;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;FlightNotificationsTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\FlightNotificationsTest.java;;126;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;LegQuoteIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\LegQuoteIntegrationTest.java;;123;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;FlightToTripNotificationsSplitterTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\notifications\FlightToTripNotificationsSplitterTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\main\java\siia\booking\integration\notifications\FlightToTripNotificationsSplitter.java;54;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;PaymentRoutingTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\PaymentRoutingTest.java;;66;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;TripCommandsTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\TripCommandsTest.java;;108;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;WeatherTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\flight-booking\integration\src\test\java\siia\booking\integration\WeatherTest.java;;54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;RunBookingServiceTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\fundamentals\src\test\java\siia\fundamentals\RunBookingServiceTest.java;;45;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;CookTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\CookTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\main\java\com\manning\siia\kitchen\Cook.java;64;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-Spring-Integration-in-Action;DomainTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\domain\DomainTest.java;;65;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;MealTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\domain\MealTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\main\java\com\manning\siia\kitchen\domain\Meal.java;49;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;RecipeTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\domain\RecipeTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\main\java\com\manning\siia\kitchen\domain\Recipe.java;55;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-Spring-Integration-in-Action;EndToEndIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\EndToEndIntegrationTest.java;;67;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-Spring-Integration-in-Action;KitchenTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\KitchenTest.java;;61;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;RecipeReadingTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\RecipeReadingTest.java;;65;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-Spring-Integration-in-Action;RecipeSplitterTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\RecipeSplitterTest.java;;60;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ShoppingTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\home-cooking\src\test\java\com\manning\siia\kitchen\ShoppingTest.java;;75;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;AllChannelsDirectTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\AllChannelsDirectTest.java;;55;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChannelInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\ChannelInterceptorTest.java;;62;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChannelsBridgeTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\ChannelsBridgeTest.java;;54;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChannelsBufferedTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\ChannelsBufferedTest.java;;54;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChannelSelectorTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\ChannelSelectorTest.java;;74;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-Spring-Integration-in-Action;ChannelsPriorityTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\messages-channels\src\test\java\siia\channels\ChannelsPriorityTest.java;;60;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Spring-Integration-in-Action;ChangeFileNameGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\trip-diary\src\test\java\com\manning\siia\trip\diary\ChangeFileNameGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\trip-diary\src\main\java\com\manning\siia\trip\diary\ChangeFileNameGenerator.java;56;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-Spring-Integration-in-Action;EditableTextTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\trip-diary\src\test\java\com\manning\siia\trip\diary\EditableTextTest.java;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\trip-diary\src\main\java\com\manning\siia\trip\diary\EditableText.java;67;7;2;4;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-Spring-Integration-in-Action;ExchangerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-Spring-Integration-in-Action\siia-examples\trip-diary\src\test\java\com\manning\siia\trip\diary\ExchangerIntegrationTest.java;;98;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
