App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-eclipse-integration-tcserver;InsightPluginModelTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightPluginModelTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.ui\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightPluginModel.java;130;9;20;5;5;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;0;0;3
test-smells-eclipse-integration-tcserver;InsightPluginTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightPluginTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.ui\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightPlugin.java;148;8;31;6;6;0;0;0;0;0;0;0;0;0;0;1;0;5;5;1;0;0;9
test-smells-eclipse-integration-tcserver;InsightTcServerCallbackTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightTcServerCallbackTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.ui\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\internal\ui\InsightTcServerCallback.java;200;16;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-eclipse-integration-tcserver;AllInsightTests;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.insight.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\insight\tests\AllInsightTests.java;;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse-integration-tcserver;PropertyWriterTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\PropertyWriterTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.core\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\PropertyWriter.java;77;7;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-eclipse-integration-tcserver;TcServer40TemplatePropertiesReaderTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServer40TemplatePropertiesReaderTest.java;;452;19;0;0;0;0;0;0;0;12;3;0;0;0;0;4;0;0;0;0;0;0;0
test-smells-eclipse-integration-tcserver;TcServerBehaviourTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServerBehaviourTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.core\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServerBehaviour.java;151;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-eclipse-integration-tcserver;TcServerConfiguratorImporterTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServerConfiguratorImporterTest.java;;93;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse-integration-tcserver;TcServerDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServerDeploymentTest.java;;179;4;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
test-smells-eclipse-integration-tcserver;TcServerInstanceTest;C:\Users\crist\.jnose_projects\test-smells-eclipse-integration-tcserver\com.vmware.vfabric.ide.eclipse.tcserver.tests\src\com\vmware\vfabric\ide\eclipse\tcserver\internal\core\TcServerInstanceTest.java;;71;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
