App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-grails-ide;AbstractDebugTest;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.groovy.debug.tests\jdt-debug-tests-src\org\eclipse\jdt\debug\tests\AbstractDebugTest.java;;1901;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;LaunchModeTests;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.groovy.debug.tests\jdt-debug-tests-src\org\eclipse\jdt\debug\tests\launching\LaunchModeTests.java;;405;23;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;1;1;0;0;0
test-smells-grails-ide;AllGroovyDebugTests;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.groovy.debug.tests\src\org\grails\ide\eclipse\groovy\debug\tests\AllGroovyDebugTests.java;;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;DependencyFileFormatTest;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\commands\test\DependencyFileFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.runtime.shared\src\org\grails\ide\eclipse\runtime\shared\DependencyFileFormat.java;220;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;GrailsCommandUtilTest;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\commands\test\GrailsCommandUtilTest.java;;603;21;10;0;3;0;0;0;0;0;4;0;0;0;0;3;0;3;2;0;0;0;0
test-smells-grails-ide;PrefixedOutputStreamTest;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\longrunning\test\PrefixedOutputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.runtime.shared\src\org\grails\ide\eclipse\runtime\shared\longrunning\PrefixedOutputStream.java;138;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-grails-ide;AnswerProvider;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\longrunning\test\TestConsoleProvider.java;;161;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;AllGrailsExperimentalTests;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\test\AllGrailsExperimentalTests.java;;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;AllGrailsHeartbeatTests;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\test\AllGrailsHeartbeatTests.java;;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-grails-ide;AllGrailsRefactoringTests;C:\Users\crist\.jnose_projects\test-smells-grails-ide\org.grails.ide.eclipse.test\src\org\grails\ide\eclipse\test\AllGrailsRefactoringTests.java;;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
