App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-greenhouse;JdbcAccountRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\account\JdbcAccountRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\account\JdbcAccountRepository.java;112;14;4;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-greenhouse;WelcomeMailTransformerTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\account\WelcomeMailTransformerTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\signup\WelcomeMailTransformer.java;44;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-greenhouse;TwitterConnectInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\connect\TwitterConnectInterceptorTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\connect\TwitterConnectInterceptor.java;82;8;1;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1
test-smells-greenhouse;GreenhouseDatabaseInstallerTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\database\GreenhouseDatabaseInstallerTest.java;;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-greenhouse;JdbcAppRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\develop\JdbcAppRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\develop\JdbcAppRepository.java;127;13;13;3;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-greenhouse;JdbcEventRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\events\JdbcEventRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\events\JdbcEventRepository.java;149;16;9;0;0;0;0;8;0;15;0;0;2;0;0;0;0;0;0;0;0;0;1
test-smells-greenhouse;JdbcEventLoaderRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\events\load\JdbcEventLoaderRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\events\load\JdbcEventLoaderRepository.java;260;13;17;4;0;0;0;4;0;5;0;0;3;0;0;2;0;0;0;0;0;0;3
test-smells-greenhouse;NFJSLoaderTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\events\load\NFJSLoaderTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\events\load\NFJSLoader.java;237;18;0;0;0;0;0;0;0;9;0;0;3;0;0;0;0;0;1;0;0;0;1
test-smells-greenhouse;JdbcGroupRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\groups\JdbcGroupRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\groups\JdbcGroupRepository.java;58;6;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-greenhouse;InviteeTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\invite\InviteeTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\invite\Invitee.java;64;5;10;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-greenhouse;JdbcInviteRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\invite\JdbcInviteRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\invite\JdbcInviteRepository.java;86;8;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-greenhouse;MailInviteServiceTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\invite\mail\MailInviteServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\invite\mail\MailInviteService.java;81;7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-greenhouse;JdbcProfileRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\members\JdbcProfileRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\members\JdbcProfileRepository.java;91;11;0;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1
test-smells-greenhouse;SettingsControllerTest;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\test\java\com\springsource\greenhouse\settings\SettingsControllerTest.java;C:\Users\crist\.jnose_projects\test-smells-greenhouse\src\main\java\com\springsource\greenhouse\settings\SettingsController.java;94;9;4;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0
