App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-amqp;AddressTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\AddressTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\Address.java;106;8;16;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;4
test-smells-spring-amqp;BindingBuilderTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\BindingBuilderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\BindingBuilder.java;138;9;29;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6
test-smells-spring-amqp;BuilderTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\builder\BuilderTests.java;;99;2;32;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0
test-smells-spring-amqp;MessageBuilderTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\builder\MessageBuilderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\MessageBuilder.java;365;16;22;7;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;5
test-smells-spring-amqp;MessagePropertiesTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\MessagePropertiesTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\MessageProperties.java;86;6;2;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-amqp;MessageTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\MessageTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\Message.java;118;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-amqp;QueueBuilderTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\QueueBuilderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\core\QueueBuilder.java;91;6;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-spring-amqp;QueueNameTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\core\QueueNameTests.java;;45;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-amqp;RemotingTest;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\remoting\RemotingTest.java;;167;9;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
test-smells-spring-amqp;AmqpMessageHeaderAccessorTests;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\test\java\org\springframework\amqp\support\AmqpMessageHeaderAccessorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-amqp\spring-amqp\src\main\java\org\springframework\amqp\support\AmqpMessageHeaderAccessor.java;116;4;19;3;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;2
