App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-cassandra;AbstractClusterConfigurationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\AbstractClusterConfigurationUnitTests.java;;396;24;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;CassandraClusterFactoryBeanUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraClusterFactoryBeanUnitTests.java;;410;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-data-cassandra;CassandraCqlClusterParserUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraCqlClusterParserUnitTests.java;;442;14;85;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;CassandraCqlSessionFactoryBeanUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraCqlSessionFactoryBeanUnitTests.java;;324;24;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0
test-smells-spring-data-cassandra;CassandraMappingBeanFactoryPostProcessorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraMappingBeanFactoryPostProcessorUnitTests.java;;148;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;CassandraNamespaceIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraNamespaceIntegrationTests.java;;118;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;CassandraSessionFactoryBeanUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CassandraSessionFactoryBeanUnitTests.java;;218;18;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;3;0;0;0
test-smells-spring-data-cassandra;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\ConfigIntegrationTests.java;;59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\CqlTemplateConfigIntegrationTests.java;;82;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-cassandra;FullySpecifiedKeyspaceCreatingXmlConfigIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-cassandra\spring-data-cassandra\src\test\java\org\springframework\data\cassandra\config\FullySpecifiedKeyspaceCreatingXmlConfigIntegrationTests.java;;44;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
