App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-couchbase;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\config\AbstractCouchbaseDataConfigurationTest.java;;166;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseEnvironmentNoShutdownProxyTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\config\CouchbaseEnvironmentNoShutdownProxyTest.java;;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseTemplateParserIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\config\CouchbaseTemplateParserIntegrationTests.java;;142;10;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseTemplateIdGenerationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\CouchbaseTemplateIdGenerationTests.java;;147;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseTemplateKeySettingsTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\CouchbaseTemplateKeySettingsTests.java;;61;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-spring-data-couchbase;CouchbaseTemplateTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\CouchbaseTemplateTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\core\CouchbaseTemplate.java;808;39;49;14;0;0;0;0;0;12;3;0;0;0;0;1;0;0;5;2;0;0;55
test-smells-spring-data-couchbase;CustomConverterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\mapping\CustomConverterTests.java;;96;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;RxJavaCouchbaseTemplateTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\RxJavaCouchbaseTemplateTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\core\RxJavaCouchbaseTemplate.java;732;43;26;9;0;0;0;0;0;7;5;0;0;0;0;0;0;0;3;0;0;0;55
test-smells-spring-data-couchbase;TypeKeyTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\core\TypeKeyTests.java;;77;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;ClientInfoTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\monitor\ClientInfoTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\monitor\ClientInfo.java;58;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;ClusterInfoTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\monitor\ClusterInfoTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\monitor\ClusterInfo.java;68;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;AuditingTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\auditing\AuditingTests.java;;97;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CdiRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\cdi\CdiRepositoryTests.java;;140;11;8;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseIdGenerationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\CouchbaseIdGenerationTests.java;;96;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseRepositoryViewTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\CouchbaseRepositoryViewTests.java;;193;15;19;0;0;0;0;0;0;8;1;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-spring-data-couchbase;DimensionalQueryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\DimensionalQueryTests.java;;336;18;25;0;0;0;0;0;0;25;7;0;0;0;0;1;0;0;4;4;0;0;0
test-smells-spring-data-couchbase;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\extending\base\RepositoryBaseTest.java;;134;5;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\extending\method\RepositoryCustomMethodTest.java;;104;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;FeatureDetectionRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\feature\FeatureDetectionRepositoryTests.java;;112;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0
test-smells-spring-data-couchbase;IndexedRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\index\IndexedRepositoryTests.java;;188;18;2;0;0;0;0;0;0;0;9;0;2;0;0;1;0;0;0;2;0;0;0
test-smells-spring-data-couchbase;N1qlJoinTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\join\N1qlJoinTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\core\query\N1qlJoin.java;85;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;N1qlCouchbaseRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\N1qlCouchbaseRepositoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\repository\support\N1qlCouchbaseRepository.java;220;20;4;0;0;0;0;0;0;13;11;0;3;0;0;0;0;0;1;0;0;0;1
test-smells-spring-data-couchbase;N1qlCrudRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\N1qlCrudRepositoryTests.java;;162;20;4;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;N1qlPlaceholderTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\N1qlPlaceholderTests.java;;138;11;12;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;0;1;0;0;0
test-smells-spring-data-couchbase;PageAndSliceTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\PageAndSliceTests.java;;93;9;11;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;QueryDerivationConversionTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\QueryDerivationConversionTests.java;;95;8;7;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;ReactiveN1qlCouchbaseRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\ReactiveN1qlCouchbaseRepositoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\repository\support\ReactiveN1qlCouchbaseRepository.java;151;16;0;0;0;0;0;0;0;6;5;0;3;0;0;0;0;0;0;0;0;0;1
test-smells-spring-data-couchbase;SimpleCouchbaseRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\SimpleCouchbaseRepositoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\repository\support\SimpleCouchbaseRepository.java;363;23;21;3;0;0;0;0;0;4;3;0;2;0;0;2;0;0;0;3;0;0;6
test-smells-spring-data-couchbase;SimpleReactiveCouchbaseRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\SimpleReactiveCouchbaseRepositoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\repository\support\SimpleReactiveCouchbaseRepository.java;184;16;12;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-spring-data-couchbase;SpelRepositoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\spel\SpelRepositoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\spel\SpelRepository.java;78;6;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\wiring\RepositoryTemplateWiringTests.java;;179;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;XmlRepositoryConfigurationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\repository\xmlconfig\XmlRepositoryConfigurationTests.java;;50;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;TestContainerResource;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\integration\java\org\springframework\data\couchbase\TestContainerResource.java;;67;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseBucketParserTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\config\CouchbaseBucketParserTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\config\CouchbaseBucketParser.java;138;7;24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseClusterParserTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\config\CouchbaseClusterParserTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\config\CouchbaseClusterParser.java;154;8;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseEnvironmentParserTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\config\CouchbaseEnvironmentParserTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\config\CouchbaseEnvironmentParser.java;115;6;38;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;CouchbaseSingleEnvironmentParserTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\config\CouchbaseSingleEnvironmentParserTest.java;;60;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;Entity;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\core\convert\join\N1qlJoinResolverTest.java;;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-couchbase;JacksonTranslationServiceTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\test\java\org\springframework\data\couchbase\core\convert\translation\JacksonTranslationServiceTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-couchbase\src\main\java\org\springframework\data\couchbase\core\convert\translation\JacksonTranslationService.java;67;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
