App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-relational;CascadingDataAccessStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\CascadingDataAccessStrategyUnitTests.java;;86;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;BasicRelationalConverterAggregateReferenceUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\convert\BasicRelationalConverterAggregateReferenceUnitTests.java;;74;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;DefaultDataAccessStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\DefaultDataAccessStrategyUnitTests.java;;159;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;DefaultJdbcInterpreterUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\DefaultJdbcInterpreterUnitTests.java;;115;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;EntityRowMapperUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\EntityRowMapperUnitTests.java;;484;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;ImmutableAggregateTemplateHsqlIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\ImmutableAggregateTemplateHsqlIntegrationTests.java;;272;19;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;IterableOfEntryToMapConverterUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\IterableOfEntryToMapConverterUnitTests.java;;73;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;JdbcAggregateTemplateIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\JdbcAggregateTemplateIntegrationTests.java;;540;38;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-data-relational;JdbcIdentifierBuilderUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\JdbcIdentifierBuilderUnitTests.java;;132;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;BasicJdbcPersistentPropertyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\mapping\BasicJdbcPersistentPropertyUnitTests.java;;195;13;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-data-relational;MyBatisDataAccessStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\MyBatisDataAccessStrategyUnitTests.java;;346;21;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;SelectBuilderUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\SelectBuilderUnitTests.java;;89;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;SqlGeneratorContextBasedNamingStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\SqlGeneratorContextBasedNamingStrategyUnitTests.java;;236;16;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-spring-data-relational;SqlGeneratorEmbeddedUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\SqlGeneratorEmbeddedUnitTests.java;;188;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;SqlGeneratorFixedNamingStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\SqlGeneratorFixedNamingStrategyUnitTests.java;;213;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;SqlGeneratorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\core\SqlGeneratorUnitTests.java;;415;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;DependencyTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\degraph\DependencyTests.java;;65;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;NamingStrategyUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\mapping\model\NamingStrategyUnitTests.java;;100;10;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;MyBatisCustomizingNamespaceHsqlIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\mybatis\MyBatisCustomizingNamespaceHsqlIntegrationTests.java;;126;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\mybatis\MyBatisHsqlIntegrationTests.java;;132;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;ConfigurableRowMapperMapUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\config\ConfigurableRowMapperMapUnitTests.java;;97;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;EnableJdbcAuditingHsqlIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\config\EnableJdbcAuditingHsqlIntegrationTests.java;;298;15;27;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0
test-smells-spring-data-relational;EnableJdbcRepositoriesIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\config\EnableJdbcRepositoriesIntegrationTests.java;;157;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryCrossAggregateHsqlIntegrationTests.java;;121;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryCustomConversionIntegrationTests.java;;156;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryEmbeddedImmutableIntegrationTests.java;;112;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryEmbeddedIntegrationTests.java;;262;3;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryEmbeddedNotInAggregateRootIntegrationTests.java;;257;3;8;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryEmbeddedWithCollectionIntegrationTests.java;;268;3;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryEmbeddedWithReferenceIntegrationTests.java;;258;3;8;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryIdGenerationIntegrationTests.java;;145;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-relational;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-relational\spring-data-jdbc\src\test\java\org\springframework\data\jdbc\repository\JdbcRepositoryIntegrationTests.java;;263;3;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
