App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-mongodb;ConfigClassInDefaultPackageUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\ConfigClassInDefaultPackageUnitTests.java;;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;TestConfig;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AbstractIntegrationTests.java;;78;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;AbstractMongoConfigurationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AbstractMongoConfigurationUnitTests.java;;202;13;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;AbstractReactiveMongoConfigurationIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AbstractReactiveMongoConfigurationIntegrationTests.java;;67;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;AbstractReactiveMongoConfigurationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AbstractReactiveMongoConfigurationUnitTests.java;;206;13;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-spring-data-mongodb;AuditingIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AuditingIntegrationTests.java;;74;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-data-mongodb;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\AuditingViaJavaConfigRepositoriesTests.java;;221;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;Config;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\GeoJsonConfigurationIntegrationTests.java;;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;MappingMongoConverterParserIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\MappingMongoConverterParserIntegrationTests.java;;175;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;MappingMongoConverterParserValidationIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\MappingMongoConverterParserValidationIntegrationTests.java;;76;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-mongodb;MongoAuditingRegistrarUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-mongodb\spring-data-mongodb\src\test\java\org\springframework\data\mongodb\config\MongoAuditingRegistrarUnitTests.java;;47;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
