App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-redis;DefaultRedisCacheWriterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\cache\DefaultRedisCacheWriterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\main\java\org\springframework\data\redis\cache\DefaultRedisCacheWriter.java;329;26;9;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;0;4
test-smells-spring-data-redis;LegacyRedisCacheTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\cache\LegacyRedisCacheTests.java;;435;31;13;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;3;2;0;0;0
test-smells-spring-data-redis;RedisCacheConfigurationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\cache\RedisCacheConfigurationUnitTests.java;;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-redis;RedisCacheManagerUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\cache\RedisCacheManagerUnitTests.java;;153;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-redis;RedisCacheTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\cache\RedisCacheTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\main\java\org\springframework\data\redis\cache\RedisCache.java;332;34;16;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16
test-smells-spring-data-redis;NamespaceTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\config\NamespaceTest.java;;67;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-redis;AbstractConnectionIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\connection\AbstractConnectionIntegrationTests.java;;3120;271;110;0;0;0;0;6;0;83;17;0;1;0;0;4;0;0;2;4;0;0;0
test-smells-spring-data-redis;AbstractConnectionPipelineIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\connection\AbstractConnectionPipelineIntegrationTests.java;;155;21;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-redis;AbstractConnectionTransactionIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\connection\AbstractConnectionTransactionIntegrationTests.java;;134;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-redis;ClusterCommandExecutorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-redis\src\test\java\org\springframework\data\redis\connection\ClusterCommandExecutorUnitTests.java;;377;43;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
