App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-data-solr;DateTimeConvertersTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\DateTimeConvertersTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\convert\DateTimeConverters.java;96;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-data-solr;DistanceConverterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\GeoConverterTests.java;;122;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;MappingSolrConvertDocumentObjectBinderCompatibilityTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\MappingSolrConvertDocumentObjectBinderCompatibilityTests.java;;392;17;43;0;0;0;0;0;0;14;0;0;0;0;0;2;0;0;2;0;0;0;0
test-smells-spring-data-solr;MappingSolrConverterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\MappingSolrConverterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\convert\MappingSolrConverter.java;1230;98;73;0;0;0;0;0;0;22;0;0;1;0;0;0;0;0;0;0;0;0;36
test-smells-spring-data-solr;NumberConvertersTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\NumberConvertersTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\convert\NumberConverters.java;96;14;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-data-solr;SolrJConverterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\SolrJConverterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\convert\SolrJConverter.java;112;6;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-spring-data-solr;UpdateToSolrInputDocumentConverterTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\convert\UpdateToSolrInputDocumentConverterTests.java;;139;12;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;DefaultQueryParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\DefaultQueryParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\DefaultQueryParser.java;1862;160;127;0;0;0;0;0;2;26;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-spring-data-solr;FunctionQueryFragmentTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\FunctionQueryFragmentTests.java;;197;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;SimpleSolrPersistentEntityTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\mapping\SimpleSolrPersistentEntityTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\mapping\SimpleSolrPersistentEntity.java;303;28;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48
test-smells-spring-data-solr;SimpleSolrPersistentPropertyTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\mapping\SimpleSolrPersistentPropertyTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\mapping\SimpleSolrPersistentProperty.java;76;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;SimpleSolrPersitentPropertyFieldNameTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\mapping\SimpleSolrPersitentPropertyFieldNameTests.java;;147;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;CriteriaTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\CriteriaTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\Criteria.java;549;59;70;51;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;40
test-smells-spring-data-solr;FacetOptionsTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\FacetOptionsTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\FacetOptions.java;406;33;63;26;0;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;0;24
test-smells-spring-data-solr;FieldWithQueryParametersTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\FieldWithQueryParametersTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\FieldWithQueryParameters.java;126;18;7;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4
test-smells-spring-data-solr;HighlightOptionsTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\HighlightOptionsTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\HighlightOptions.java;129;18;13;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-spring-data-solr;PartialUpdateTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\PartialUpdateTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\PartialUpdate.java;53;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-spring-data-solr;DelegatingCursorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\result\DelegatingCursorUnitTests.java;;185;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-data-solr;SimpleStatsResultTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\result\SimpleStatsResultTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\result\SimpleStatsResult.java;103;7;6;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11
test-smells-spring-data-solr;SolrGroupResultPageTest;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\result\SolrGroupResultPageTest.java;;108;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-data-solr;SimpleHighlightQueryTests;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\test\java\org\springframework\data\solr\core\query\SimpleHighlightQueryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-data-solr\src\main\java\org\springframework\data\solr\core\query\SimpleHighlightQuery.java;55;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
