App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-framework;AbstractAspectJAdvisorFactoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactory.java;1103;46;38;0;0;0;0;3;0;33;0;0;0;0;0;3;0;0;3;7;0;0;0
test-smells-spring-framework;ArgumentBindingTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\ArgumentBindingTests.java;;128;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-framework;AspectJPointcutAdvisorTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AspectJPointcutAdvisorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\AspectJPointcutAdvisor.java;89;6;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-framework;AspectMetadataTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AspectMetadataTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\annotation\AspectMetadata.java;63;4;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-framework;AspectProxyFactoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AspectProxyFactoryTests.java;;232;16;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-framework;AspectJAdviceParameterNameDiscoverAnnotationTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\AspectJAdviceParameterNameDiscoverAnnotationTests.java;;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-framework;AspectJAdviceParameterNameDiscovererTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\AspectJAdviceParameterNameDiscovererTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\AspectJAdviceParameterNameDiscoverer.java;342;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-framework;AspectJExpressionPointcutTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\AspectJExpressionPointcutTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\AspectJExpressionPointcut.java;345;28;11;8;0;0;0;4;1;6;1;0;3;0;0;0;0;0;1;5;0;0;18
test-smells-spring-framework;AspectJNamespaceHandlerTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\autoproxy\AspectJNamespaceHandlerTests.java;;106;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-spring-framework;AspectJPrecedenceComparatorTests;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\autoproxy\AspectJPrecedenceComparatorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-framework\spring-aop\src\main\java\org\springframework\aop\aspectj\autoproxy\AspectJPrecedenceComparator.java;216;25;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;5;0;0;0;1
