App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-integration-aws;S3InboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\S3InboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\S3InboundChannelAdapterParser.java;131;6;16;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-integration-aws;S3MessageHandlerParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\S3MessageHandlerParserTests.java;;159;14;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-integration-aws;S3StreamingInboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\S3StreamingInboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\S3StreamingInboundChannelAdapterParser.java;105;6;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-spring-integration-aws;SnsInboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\SnsInboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\SnsInboundChannelAdapterParser.java;81;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-integration-aws;SnsOutboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\SnsOutboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\SnsOutboundChannelAdapterParser.java;116;10;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-spring-integration-aws;SqsMessageDrivenChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\SqsMessageDrivenChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\SqsMessageDrivenChannelAdapterParser.java;117;9;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-integration-aws;SqsMessageHandlerParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\SqsMessageHandlerParserTests.java;;132;11;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-integration-aws;SqsOutboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\config\xml\SqsOutboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\config\xml\SqsOutboundChannelAdapterParser.java;50;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-integration-aws;KinesisMessageDrivenChannelAdapterTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\inbound\KinesisMessageDrivenChannelAdapterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\main\java\org\springframework\integration\aws\inbound\kinesis\KinesisMessageDrivenChannelAdapter.java;414;11;31;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;8;0;0;0;0
test-smells-spring-integration-aws;S3InboundChannelAdapterTests;C:\Users\crist\.jnose_projects\test-smells-spring-integration-aws\src\test\java\org\springframework\integration\aws\inbound\S3InboundChannelAdapterTests.java;;205;9;13;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;6;0;0;0;0
