App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
tests-smells-spring-integration;ChannelTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\channel\ChannelTests.java;;305;17;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0
tests-smells-spring-integration;DispatcherHasNoSubscribersTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\channel\DispatcherHasNoSubscribersTests.java;;149;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
tests-smells-spring-integration;AmqpChannelParserTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\AmqpChannelParserTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\config\AmqpChannelParser.java;121;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tests-smells-spring-integration;AmqpInboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\AmqpInboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\config\AmqpInboundChannelAdapterParser.java;224;9;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
tests-smells-spring-integration;AmqpInboundGatewayParserTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\AmqpInboundGatewayParserTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\config\AmqpInboundGatewayParser.java;160;6;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
tests-smells-spring-integration;AmqpOutboundChannelAdapterParserTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\AmqpOutboundChannelAdapterParserTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\config\AmqpOutboundChannelAdapterParser.java;354;16;21;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0
tests-smells-spring-integration;AmqpOutboundGatewayParserTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\AmqpOutboundGatewayParserTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\config\AmqpOutboundGatewayParser.java;338;10;41;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;1;1;0;0;0
tests-smells-spring-integration;OutboundGatewayIntegrationTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\OutboundGatewayIntegrationTests.java;;73;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tests-smells-spring-integration;OutboundGatewayTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\config\OutboundGatewayTests.java;;112;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tests-smells-spring-integration;AmqpTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\dsl\AmqpTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\dsl\Amqp.java;435;23;13;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
tests-smells-spring-integration;AmqpMessageSourceIntegrationTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\inbound\AmqpMessageSourceIntegrationTests.java;;265;13;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
tests-smells-spring-integration;AmqpMessageSourceTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\inbound\AmqpMessageSourceTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\inbound\AmqpMessageSource.java;126;4;1;2;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2
tests-smells-spring-integration;InboundEndpointTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\inbound\InboundEndpointTests.java;;415;8;38;0;0;0;0;0;0;7;0;0;0;0;0;5;0;0;6;0;0;0;0
tests-smells-spring-integration;ManualAckTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\inbound\ManualAckTests.java;;163;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
tests-smells-spring-integration;AmqpOutboundEndpointTests;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\outbound\AmqpOutboundEndpointTests.java;C:\Users\crist\.jnose_projects\tests-smells-spring-integration\spring-integration-amqp\src\main\java\org\springframework\integration\amqp\outbound\AmqpOutboundEndpoint.java;268;19;28;1;0;0;0;0;0;0;4;0;0;0;0;2;0;0;7;0;0;0;0
