App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-retry;BackToBackPatternClassifierTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\BackToBackPatternClassifierTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\BackToBackPatternClassifier.java;90;8;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6
test-smells-spring-retry;BinaryExceptionClassifierBuilderTest;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\BinaryExceptionClassifierBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\BinaryExceptionClassifierBuilder.java;84;4;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-retry;BinaryExceptionClassifierTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\BinaryExceptionClassifierTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\BinaryExceptionClassifier.java;147;14;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
test-smells-spring-retry;ClassifierAdapterTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\ClassifierAdapterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\ClassifierAdapter.java;130;8;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-spring-retry;ClassifierSupportTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\ClassifierSupportTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\ClassifierSupport.java;40;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-retry;PatternMatchingClassifierTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\PatternMatchingClassifierTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\classify\PatternMatchingClassifier.java;58;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-retry;SubclassExceptionClassifierTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\classify\SubclassExceptionClassifierTests.java;;116;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;AbstractExceptionTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\AbstractExceptionTests.java;;41;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;CircuitBreakerTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\CircuitBreakerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\annotation\CircuitBreaker.java;148;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;EnableRetryTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\EnableRetryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\annotation\EnableRetry.java;641;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;EnableRetryWithBackoffTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\EnableRetryWithBackoffTests.java;;208;10;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;EnableRetryWithListenersTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\EnableRetryWithListenersTests.java;;153;6;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;PrototypeBeanTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\PrototypeBeanTests.java;;122;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;ProxyApplicationTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\ProxyApplicationTests.java;;92;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-retry;RecoverAnnotationRecoveryHandlerTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\annotation\RecoverAnnotationRecoveryHandlerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\annotation\RecoverAnnotationRecoveryHandler.java;358;23;2;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;11
test-smells-spring-retry;AnyThrowTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\AnyThrowTests.java;;63;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;BackOffPolicySerializationTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\backoff\BackOffPolicySerializationTests.java;;91;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;ExponentialBackOffPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\backoff\ExponentialBackOffPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\backoff\ExponentialBackOffPolicy.java;96;7;3;6;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-spring-retry;ExponentialRandomBackOffPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\backoff\ExponentialRandomBackOffPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\backoff\ExponentialRandomBackOffPolicy.java;91;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;FixedBackOffPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\backoff\FixedBackOffPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\backoff\FixedBackOffPolicy.java;67;4;3;3;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-spring-retry;ThreadWaitSleeperTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\backoff\ThreadWaitSleeperTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\backoff\ThreadWaitSleeper.java;46;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-retry;RetryInterceptorBuilderTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\interceptor\RetryInterceptorBuilderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\interceptor\RetryInterceptorBuilder.java;196;10;12;8;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;2;0;0;8
test-smells-spring-retry;RetryOperationsInterceptorTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\interceptor\RetryOperationsInterceptorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\interceptor\RetryOperationsInterceptor.java;235;16;6;1;0;0;0;0;0;9;0;0;5;0;0;1;0;0;0;2;0;0;3
test-smells-spring-retry;StatefulRetryOperationsInterceptorTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\interceptor\StatefulRetryOperationsInterceptorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\interceptor\StatefulRetryOperationsInterceptor.java;361;22;9;4;0;0;0;0;0;17;0;0;4;0;0;0;0;0;1;10;0;0;25
test-smells-spring-retry;RetryListenerSupportTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\listener\RetryListenerSupportTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\listener\RetryListenerSupport.java;54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-spring-retry;RetryListenerTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\listener\RetryListenerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\RetryListener.java;179;8;11;0;0;0;0;0;0;15;0;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-spring-retry;AlwaysRetryPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\AlwaysRetryPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\policy\AlwaysRetryPolicy.java;63;3;7;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-spring-retry;CircuitBreakerRetryTemplateTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\CircuitBreakerRetryTemplateTests.java;;197;13;20;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;7;2;0;0;0
test-smells-spring-retry;CompositeRetryPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\CompositeRetryPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\policy\CompositeRetryPolicy.java;178;9;12;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;5
test-smells-spring-retry;ExceptionClassifierRetryPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\ExceptionClassifierRetryPolicyTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\policy\ExceptionClassifierRetryPolicy.java;155;10;13;6;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;5
test-smells-spring-retry;FatalExceptionRetryPolicyTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\FatalExceptionRetryPolicyTests.java;;123;3;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0
test-smells-spring-retry;MapRetryContextCacheTests;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\test\java\org\springframework\retry\policy\MapRetryContextCacheTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-retry\src\main\java\org\springframework\retry\policy\MapRetryContextCache.java;55;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
