App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-security;AclFormattingUtilsTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\AclFormattingUtilsTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\domain\AclFormattingUtils.java;155;7;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;10;0;0;3
test-smells-spring-security;AclPermissionCacheOptimizerTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\AclPermissionCacheOptimizerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\AclPermissionCacheOptimizer.java;72;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-security;AclPermissionEvaluatorTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\AclPermissionEvaluatorTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\AclPermissionEvaluator.java;77;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-security;AclEntryAfterInvocationCollectionFilteringProviderTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\afterinvocation\AclEntryAfterInvocationCollectionFilteringProviderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\afterinvocation\AclEntryAfterInvocationCollectionFilteringProvider.java;89;3;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-spring-security;AclEntryAfterInvocationProviderTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\afterinvocation\AclEntryAfterInvocationProviderTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\afterinvocation\AclEntryAfterInvocationProvider.java;144;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6
test-smells-spring-security;AccessControlImplEntryTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\domain\AccessControlImplEntryTests.java;;117;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0
test-smells-spring-security;AclAuthorizationStrategyImplTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\domain\AclAuthorizationStrategyImplTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\domain\AclAuthorizationStrategyImpl.java;72;7;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-spring-security;AclImplementationSecurityCheckTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\domain\AclImplementationSecurityCheckTests.java;;312;7;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;15;0;0;0
test-smells-spring-security;AclImplTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\domain\AclImplTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\domain\AclImpl.java;634;35;60;17;0;0;0;0;0;1;0;0;3;0;0;6;0;0;16;12;0;0;12
test-smells-spring-security;AuditLoggerTests;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\test\java\org\springframework\security\acls\domain\AuditLoggerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-security\acl\src\main\java\org\springframework\security\acls\domain\AuditLogger.java;95;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
