App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-social-linkedin;AbstractLinkedInApiTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\AbstractLinkedInApiTest.java;;114;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-social-linkedin;CommunicationTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\CommunicationTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\CommunicationTemplate.java;76;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-social-linkedin;CompanyTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\CompanyTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\CompanyTemplate.java;167;5;49;0;0;0;0;4;0;24;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-spring-social-linkedin;ConnectionTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\ConnectionTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\ConnectionTemplate.java;76;4;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-social-linkedin;ErrorHandlerTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\ErrorHandlerTest.java;;95;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-spring-social-linkedin;GroupTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\GroupTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\GroupTemplate.java;346;18;81;0;0;0;0;16;0;39;0;0;0;0;0;2;0;0;7;0;0;0;0
test-smells-spring-social-linkedin;JobTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\JobTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\JobTemplate.java;220;6;83;0;0;0;0;3;0;28;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-spring-social-linkedin;NetworkUpdateTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\NetworkUpdateTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\NetworkUpdateTemplate.java;180;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-social-linkedin;ProfileTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\api\impl\ProfileTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\api\impl\ProfileTemplate.java;186;7;62;0;0;0;0;7;0;29;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-spring-social-linkedin;LinkedInAdapterTest;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\test\java\org\springframework\social\linkedin\connect\LinkedInAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-social-linkedin\spring-social-linkedin\src\main\java\org\springframework\social\linkedin\connect\LinkedInAdapter.java;57;4;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
