App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-vault;Config;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\annotation\LeaseAwareVaultPropertySourceIntegrationTests.java;;81;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;Config;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\annotation\VaultPropertySourceInBeanConfigurationIntegrationTest.java;;80;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;Config;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\annotation\VaultPropertySourceIntegrationTests.java;;81;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;Config;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\annotation\VaultPropertySourceMultipleIntegrationTests.java;;84;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;DevProfile;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\annotation\VaultPropertySourceUnitTests.java;;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppIdAuthenticationIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppIdAuthenticationIntegrationTests.java;;68;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppIdAuthenticationOperatorIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppIdAuthenticationOperatorIntegrationTests.java;;63;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppIdAuthenticationStepsIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppIdAuthenticationStepsIntegrationTests.java;;72;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppIdAuthenticationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppIdAuthenticationUnitTests.java;;92;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppRoleAuthenticationIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppRoleAuthenticationIntegrationTests.java;;186;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppRoleAuthenticationStepsIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppRoleAuthenticationStepsIntegrationTests.java;;178;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AppRoleAuthenticationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AppRoleAuthenticationUnitTests.java;;232;12;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-spring-vault;AuthenticationStepsExecutorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AuthenticationStepsExecutorUnitTests.java;;201;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-vault;AuthenticationStepsOperatorUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AuthenticationStepsOperatorUnitTests.java;;160;8;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-vault;AwsEc2AuthenticationUnitTests;C:\Users\crist\.jnose_projects\test-smells-spring-vault\spring-vault-core\src\test\java\org\springframework\vault\authentication\AwsEc2AuthenticationUnitTests.java;;190;9;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
