App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-ws;AbstractWebServiceMessageFactoryTestCase;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\AbstractWebServiceMessageFactoryTestCase.java;;39;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ws;AbstractWebServiceMessageTestCase;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\AbstractWebServiceMessageTestCase.java;;178;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ws;AbstractSoap11WebServiceTemplateIntegrationTestCase;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\core\AbstractSoap11WebServiceTemplateIntegrationTestCase.java;;390;22;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-spring-ws;AbstractSoap12WebServiceTemplateIntegrationTestCase;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\core\AbstractSoap12WebServiceTemplateIntegrationTestCase.java;;414;24;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-spring-ws;DomPoxWebServiceTemplateIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\core\DomPoxWebServiceTemplateIntegrationTest.java;;150;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
test-smells-spring-ws;SimpleFaultMessageResolverTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\core\SimpleFaultMessageResolverTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\main\java\org\springframework\ws\client\core\SimpleFaultMessageResolver.java;55;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-spring-ws;WebServiceTemplateTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\core\WebServiceTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\main\java\org\springframework\ws\client\core\WebServiceTemplate.java;503;22;0;13;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;3;0;0;10
test-smells-spring-ws;Wsdl11DestinationProviderTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\support\destination\Wsdl11DestinationProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\main\java\org\springframework\ws\client\support\destination\Wsdl11DestinationProvider.java;68;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spring-ws;ClientInterceptorAdapterTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\support\interceptor\ClientInterceptorAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\main\java\org\springframework\ws\client\support\interceptor\ClientInterceptorAdapter.java;97;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-spring-ws;PayloadValidatingInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\test\java\org\springframework\ws\client\support\interceptor\PayloadValidatingInterceptorTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ws\spring-ws-core\src\main\java\org\springframework\ws\soap\server\endpoint\interceptor\PayloadValidatingInterceptor.java;262;24;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;2
