App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-xd;IncrementalColumnRangePartitionerTest;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\test\java\org\springframework\batch\integration\x\IncrementalColumnRangePartitionerTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\main\java\org\springframework\batch\integration\x\IncrementalColumnRangePartitioner.java;109;9;12;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5
test-smells-spring-xd;RemoteFileToHadoopTaskletTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\test\java\org\springframework\batch\integration\x\RemoteFileToHadoopTaskletTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\main\java\org\springframework\batch\integration\x\RemoteFileToHadoopTasklet.java;120;5;3;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
test-smells-spring-xd;RemoteFileToHadoopTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\test\java\org\springframework\batch\integration\x\RemoteFileToHadoopTests.java;;189;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spring-xd;RemoteFileToTmpTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-batch\src\test\java\org\springframework\batch\integration\x\RemoteFileToTmpTests.java;;212;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;CassandraSinkModulePropertiesTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-cassandra\src\test\java\org\springframework\xd\cassandra\CassandraSinkModulePropertiesTests.java;;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;CassandraSinkTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-cassandra\src\test\java\org\springframework\xd\cassandra\CassandraSinkTests.java;;159;12;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
test-smells-spring-xd;JsonStringToObjectTransformerTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gemfire\src\test\java\org\springframework\integration\x\gemfire\JsonStringToObjectTransformerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gemfire\src\main\java\org\springframework\integration\x\gemfire\JsonStringToObjectTransformer.java;41;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;CommonConfig;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\test\java\org\springframework\xd\greenplum\AbstractLoadTests.java;;113;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;ControlFileTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\test\java\org\springframework\xd\greenplum\support\ControlFileTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\main\java\org\springframework\xd\greenplum\support\ControlFile.java;87;4;20;1;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-spring-xd;LoadConfigurationFactoryBeanTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\test\java\org\springframework\xd\greenplum\support\LoadConfigurationFactoryBeanTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\main\java\org\springframework\xd\greenplum\support\LoadConfigurationFactoryBean.java;44;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;TestListenAddress;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-gpfdist\src\test\java\org\springframework\xd\greenplum\TestListenAddress.java;;57;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;HeaderEnricherIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-header-enricher\src\test\java\org\springframework\xd\header\enricher\HeaderEnricherIntegrationTests.java;;189;14;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;HeaderEnricherModuleTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-header-enricher\src\test\java\org\springframework\xd\header\enricher\HeaderEnricherModuleTests.java;;131;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-xd;NettyHttpInboundChannelAdapterTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-http\src\test\java\org\springframework\integration\x\http\NettyHttpInboundChannelAdapterTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-http\src\main\java\org\springframework\integration\x\http\NettyHttpInboundChannelAdapter.java;328;8;28;4;0;0;0;0;0;10;0;0;0;0;0;6;0;0;0;1;0;0;3
test-smells-spring-xd;JdbcMessagePayloadTransformerTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-jdbc\src\test\java\org\springframework\xd\jdbc\JdbcMessagePayloadTransformerTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-jdbc\src\main\java\org\springframework\xd\jdbc\JdbcMessagePayloadTransformer.java;91;7;20;6;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-spring-xd;NamedColumnJdbcItemReaderFactoryTests;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-jdbc\src\test\java\org\springframework\xd\jdbc\NamedColumnJdbcItemReaderFactoryTests.java;C:\Users\crist\.jnose_projects\test-smells-spring-xd\extensions\spring-xd-extension-jdbc\src\main\java\org\springframework\xd\jdbc\NamedColumnJdbcItemReaderFactory.java;78;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
