github_repo,production_path,estratos,n_amostras,cs_blob,cs_blob_any,cs_blob_any_major,cs_blob_maioria,cs_blob_sev_media,cs_blob_unanime,cs_blob_sev_max,cs_blob_n_reviews,cs_data_class,cs_data_class_any,cs_data_class_any_major,cs_data_class_maioria,cs_data_class_sev_media,cs_data_class_unanime,cs_data_class_sev_max,cs_data_class_n_reviews,cs_feature_envy,cs_feature_envy_any,cs_feature_envy_any_major,cs_feature_envy_maioria,cs_feature_envy_sev_media,cs_feature_envy_unanime,cs_feature_envy_sev_max,cs_feature_envy_n_reviews,cs_long_method,cs_long_method_any,cs_long_method_any_major,cs_long_method_maioria,cs_long_method_sev_media,cs_long_method_unanime,cs_long_method_sev_max,cs_long_method_n_reviews,n_testes,n_testes_nome_divergente,test_paths,loc_teste,n_metodos_teste,ts_assertion_roulette,ts_conditional_test_logic,ts_dependent_test,ts_duplicate_assert,ts_eager_test,ts_exception_catching_throwing,ts_general_fixture,ts_lazy_test,ts_magic_number_test,ts_mystery_guest,ts_redundant_assertion,ts_resource_optimism,ts_verbose_test,ts_n_distintos,ts_n_total
test-smell-canal,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,negativo_confiavel,2,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,0.0,0,0,0,0.0,0,0,2,1,0,/dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/LogBufferTest.java,312,14,0,14,0,0,3,0,0,1,0,0,0,0,1,4,19
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,negativo_confiavel|positivo_confiavel,3,1.1,1,1,1,1.1,0,3,10,,,,,,,,,0.0,0,0,0,0.0,0,0,2,0.0,0,0,0,0.0,0,0,2,3,0,/filter/src/test/java/com/alibaba/otter/canal/filter/AviaterFilterTest.java|/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java|/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/RdsBinlogEventParserProxyTest.java,369,20,23,5,0,5,3,2,0,6,1,0,0,0,4,13,49
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,6,0,/meta/src/test/java/com/alibaba/otter/canal/meta/AbstractMetaManagerTest.java|/meta/src/test/java/com/alibaba/otter/canal/meta/FileMixedMetaManagerTest.java|/meta/src/test/java/com/alibaba/otter/canal/meta/MixedMetaManagerTest.java|/meta/src/test/java/com/alibaba/otter/canal/meta/PeriodMixedMetaManagerTest.java|/parse/src/test/java/com/alibaba/otter/canal/parse/index/MetaLogPositionManagerTest.java|/server/src/test/java/com/alibaba/otter/canal/server/BaseCanalServerWithEmbededTest.java,683,46,3,12,0,2,10,6,0,10,7,0,0,0,3,17,53
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/protocol/topic/OffsetMovedEvent.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/tools/src/test/java/org/apache/rocketmq/tools/monitor/DefaultMonitorListenerTest.java,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-ApplicationInsights-Java,/core/src/main/java/com/microsoft/applicationinsights/internal/processor/PageViewTelemetryFilter.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,0,/core/src/test/java/com/microsoft/applicationinsights/internal/processor/PageViewTelemetryFilterTest.java,131,6,8,1,0,3,6,0,0,3,0,0,0,0,0,5,21
test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/extractor/mp4/Mp4Extractor.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,3,0,/extensions/flac/src/test/java/com/google/android/exoplayer2/ext/flac/DefaultExtractorsFactoryTest.java|/library/core/src/test/java/com/google/android/exoplayer2/extractor/DefaultExtractorsFactoryTest.java|/library/core/src/test/java/com/google/android/exoplayer2/extractor/mp4/Mp4ExtractorTest.java,178,3,2,2,0,2,2,0,0,0,0,0,0,0,0,8,8
test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/extractor/mp4/PsshAtomUtil.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/library/core/src/test/java/com/google/android/exoplayer2/extractor/mp4/PsshAtomUtilTest.java,56,1,6,0,0,1,0,0,0,0,0,0,0,0,0,2,7
test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,2.1667,1,1,1,2.1667,0,3,6,1,0,/library/core/src/test/java/com/google/android/exoplayer2/text/ttml/TtmlDecoderTest.java,706,52,126,0,0,37,0,0,0,0,27,0,0,0,3,4,193
test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/trackselection/AdaptiveTrackSelection.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/library/core/src/test/java/com/google/android/exoplayer2/trackselection/AdaptiveTrackSelectionTest.java,443,22,7,0,0,0,5,0,1,6,0,0,0,0,2,5,21
test-smells-ExoPlayer,/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeMediaClockRenderer.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,2,0,/library/core/src/test/java/com/google/android/exoplayer2/DefaultMediaClockTest.java|/library/core/src/test/java/com/google/android/exoplayer2/ExoPlayerTest.java,3078,123,72,4,0,3,25,13,2,16,10,0,8,0,31,13,184
