correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
,,caminho_exato,0.040014,test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,/library/core/src/test/java/com/google/android/exoplayer2/text/ttml/TtmlDecoderTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-ExoPlayer/blob/4bc79c9465abd00e29ff576c5f7a7517be632f5a/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,https://github.com/cristianritter/test-smells-ExoPlayer/blob/4bc79c9465abd00e29ff576c5f7a7517be632f5a/library/core/src/test/java/com/google/android/exoplayer2/text/ttml/TtmlDecoderTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-rest.li,/restli-server/src/main/java/com/linkedin/restli/server/RestLiServiceException.java,/restli-server/src/test/java/com/linkedin/restli/server/test/TestRestLiResponseHandler.java,referencia_estatica,import_fqn,1,33,https://github.com/cristianritter/test-smells-rest.li/blob/ad74aa98da8a55ad9c339d0769a3e8fb495765af/restli-server/src/main/java/com/linkedin/restli/server/RestLiServiceException.java,https://github.com/cristianritter/test-smells-rest.li/blob/ad74aa98da8a55ad9c339d0769a3e8fb495765af/restli-server/src/test/java/com/linkedin/restli/server/test/TestRestLiResponseHandler.java
,,caminho_exato,0.040014,test-smells-ant-ivy,/src/java/org/apache/ivy/core/settings/IvySettings.java,/test/java/org/apache/ivy/core/settings/IvySettingsTest.java,caminho_exato,,0,46,https://github.com/cristianritter/test-smells-ant-ivy/blob/4ffcf8f06f238b17e78e8033c3e8278833e452eb/src/java/org/apache/ivy/core/settings/IvySettings.java,https://github.com/cristianritter/test-smells-ant-ivy/blob/4ffcf8f06f238b17e78e8033c3e8278833e452eb/test/java/org/apache/ivy/core/settings/IvySettingsTest.java
,,caminho_exato,0.040014,test-smells-jclouds,/providers/profitbricks/src/main/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandler.java,/providers/profitbricks/src/test/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandlerTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-jclouds/blob/c2670079fabe74f163f43fbade0866469f7a84ec/providers/profitbricks/src/main/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandler.java,https://github.com/cristianritter/test-smells-jclouds/blob/c2670079fabe74f163f43fbade0866469f7a84ec/providers/profitbricks/src/test/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandlerTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-SapMachine,/src/java.base/share/classes/java/util/OptionalDouble.java,/test/jdk/java/util/stream/test/org/openjdk/tests/java/util/stream/FindAnyOpTest.java,referencia_estatica,wildcard,1,4,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.base/share/classes/java/util/OptionalDouble.java,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/test/jdk/java/util/stream/test/org/openjdk/tests/java/util/stream/FindAnyOpTest.java
,,convencao,0.005513,test-smells-apex-core,/engine/src/main/java/com/datatorrent/stram/plan/logical/LogicalPlanConfiguration.java,/engine/src/test/java/com/datatorrent/stram/plan/logical/LogicalPlanConfigurationTest.java,convencao,,0,8,https://github.com/cristianritter/test-smells-apex-core/blob/d17f464fcaf19778e2f8edbe2b03419151558068/engine/src/main/java/com/datatorrent/stram/plan/logical/LogicalPlanConfiguration.java,https://github.com/cristianritter/test-smells-apex-core/blob/d17f464fcaf19778e2f8edbe2b03419151558068/engine/src/test/java/com/datatorrent/stram/plan/logical/LogicalPlanConfigurationTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-aws-sdk-java-v2,/services/s3/src/it/java/software/amazon/awssdk/services/s3/S3IntegrationTestBase.java,/services/s3/src/it/java/software/amazon/awssdk/services/s3/S3ListObjectsV2IntegrationTest.java,referencia_estatica,mesmo_pacote,1,21,https://github.com/cristianritter/test-smells-aws-sdk-java-v2/blob/1d5d11e8087c93ab1a3a2d35193052e526fd123c/services/s3/src/it/java/software/amazon/awssdk/services/s3/S3IntegrationTestBase.java,https://github.com/cristianritter/test-smells-aws-sdk-java-v2/blob/1d5d11e8087c93ab1a3a2d35193052e526fd123c/services/s3/src/it/java/software/amazon/awssdk/services/s3/S3ListObjectsV2IntegrationTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-aspectj,/bcel-builder/src/main/java/org/aspectj/apache/bcel/util/ClassPath.java,/bcel-builder/src/test/java/org/aspectj/apache/bcel/classfile/tests/AnnotationAccessFlagTest.java,referencia_estatica,import_fqn,1,8,https://github.com/cristianritter/test-smells-aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/bcel-builder/src/main/java/org/aspectj/apache/bcel/util/ClassPath.java,https://github.com/cristianritter/test-smells-aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/bcel-builder/src/test/java/org/aspectj/apache/bcel/classfile/tests/AnnotationAccessFlagTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-cassandra,/src/java/org/apache/cassandra/db/partitions/PartitionUpdate.java,/test/unit/org/apache/cassandra/db/PartitionTest.java,referencia_estatica,wildcard,1,35,https://github.com/cristianritter/test-smells-cassandra/blob/e191aff385053bdb5325f15bc6d16d2dc0ee0589/src/java/org/apache/cassandra/db/partitions/PartitionUpdate.java,https://github.com/cristianritter/test-smells-cassandra/blob/e191aff385053bdb5325f15bc6d16d2dc0ee0589/test/unit/org/apache/cassandra/db/PartitionTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-guava,/guava/src/com/google/common/hash/HashCode.java,/guava-tests/test/com/google/common/hash/HashingTest.java,referencia_estatica,mesmo_pacote,1,26,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/guava/src/com/google/common/hash/HashCode.java,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/guava-tests/test/com/google/common/hash/HashingTest.java
