correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
s,mesmo pacote; o teste instancia TtmlDecoder,caminho_exato,0.040014,test-smells-ExoPlayer,/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,/library/core/src/test/java/com/google/android/exoplayer2/text/ttml/TtmlDecoderTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-ExoPlayer/blob/4bc79c9465abd00e29ff576c5f7a7517be632f5a/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,https://github.com/cristianritter/test-smells-ExoPlayer/blob/4bc79c9465abd00e29ff576c5f7a7517be632f5a/library/core/src/test/java/com/google/android/exoplayer2/text/ttml/TtmlDecoderTest.java
s,test package == package da producao (org.eclipse.jgit.transport); usa WalkEncryption.Vals/Keys e instancia JetS3tV2,convencao/so_basename,0.002549,test-smells-jgit,/org.eclipse.jgit/src/org/eclipse/jgit/transport/WalkEncryption.java,/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/WalkEncryptionTest.java,convencao,so_basename,0,1,https://github.com/cristianritter/test-smells-jgit/blob/00523f38a19b073990239b0f837efa14197764c7/org.eclipse.jgit/src/org/eclipse/jgit/transport/WalkEncryption.java,https://github.com/cristianritter/test-smells-jgit/blob/00523f38a19b073990239b0f837efa14197764c7/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/WalkEncryptionTest.java
s,mesmo pacote; o teste exercita IvySettings via ivy.getSettings,caminho_exato,0.040014,test-smells-ant-ivy,/src/java/org/apache/ivy/core/settings/IvySettings.java,/test/java/org/apache/ivy/core/settings/IvySettingsTest.java,caminho_exato,,0,46,https://github.com/cristianritter/test-smells-ant-ivy/blob/4ffcf8f06f238b17e78e8033c3e8278833e452eb/src/java/org/apache/ivy/core/settings/IvySettings.java,https://github.com/cristianritter/test-smells-ant-ivy/blob/4ffcf8f06f238b17e78e8033c3e8278833e452eb/test/java/org/apache/ivy/core/settings/IvySettingsTest.java
s,mesmo pacote; o teste obtem SnapshotListResponseHandler pelo injector e parseia a resposta,caminho_exato,0.040014,test-smells-jclouds,/providers/profitbricks/src/main/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandler.java,/providers/profitbricks/src/test/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandlerTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-jclouds/blob/c2670079fabe74f163f43fbade0866469f7a84ec/providers/profitbricks/src/main/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandler.java,https://github.com/cristianritter/test-smells-jclouds/blob/c2670079fabe74f163f43fbade0866469f7a84ec/providers/profitbricks/src/test/java/org/jclouds/profitbricks/http/parser/snapshot/SnapshotListResponseHandlerTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-geode,/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedPutAllOperation.java,/geode-core/src/test/java/org/apache/geode/internal/cache/DistributedRegionJUnitTest.java,referencia_estatica,mesmo_pacote,1,7,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedPutAllOperation.java,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/test/java/org/apache/geode/internal/cache/DistributedRegionJUnitTest.java
s,mesmo pacote; instancia JobLocatorStepLocator nos dois construtores,convencao/caminho_espelhado,0.002964,test-smells-spring-batch-admin,/spring-batch-admin-manager/src/main/java/org/springframework/batch/admin/service/JobLocatorStepLocator.java,/spring-batch-admin-manager/src/test/java/org/springframework/batch/admin/service/JobLocatorStepLocatorTests.java,convencao,caminho_espelhado,0,1,https://github.com/cristianritter/test-smells-spring-batch-admin/blob/9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/main/java/org/springframework/batch/admin/service/JobLocatorStepLocator.java,https://github.com/cristianritter/test-smells-spring-batch-admin/blob/9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/test/java/org/springframework/batch/admin/service/JobLocatorStepLocatorTests.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-freemarker,/src/main/java/freemarker/core/Environment.java,/src/test/java/freemarker/core/EnvironmentCustomStateTest.java,referencia_estatica,mesmo_pacote,1,17,https://github.com/cristianritter/test-smells-freemarker/blob/02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/Environment.java,https://github.com/cristianritter/test-smells-freemarker/blob/02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/test/java/freemarker/core/EnvironmentCustomStateTest.java
s,"importa java.util.concurrent.locks.AbstractQueuedSynchronizer, exatamente o pacote da producao; estende em Mutex/BooleanLatch",convencao/so_basename,0.002549,test-smells-j2objc,/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/concurrent/locks/AbstractQueuedSynchronizer.java,/jre_emul/android/platform/libcore/jsr166-tests/src/test/java/jsr166/AbstractQueuedSynchronizerTest.java,convencao,so_basename,0,1,https://github.com/cristianritter/test-smells-j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/concurrent/locks/AbstractQueuedSynchronizer.java,https://github.com/cristianritter/test-smells-j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/libcore/jsr166-tests/src/test/java/jsr166/AbstractQueuedSynchronizerTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-guava,/android/guava/src/com/google/common/collect/MapMakerInternalMap.java,/guava-tests/test/com/google/common/collect/ConcurrentHashMultisetTest.java,referencia_estatica,mesmo_pacote,1,6,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/android/guava/src/com/google/common/collect/MapMakerInternalMap.java,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/guava-tests/test/com/google/common/collect/ConcurrentHashMultisetTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/stat/TableStat.java,/src/test/java/com/alibaba/druid/bvt/sql/mysql/createTable/MySqlCreateTableTest53.java,referencia_estatica,import_fqn,1,333,https://github.com/cristianritter/test-smells-alibaba-druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/stat/TableStat.java,https://github.com/cristianritter/test-smells-alibaba-druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/test/java/com/alibaba/druid/bvt/sql/mysql/createTable/MySqlCreateTableTest53.java
