review_id,sample_id,reviewer_id,smell,severidade,severidade_num,review_timestamp,is_crosscheck
1901,3698323,5,blob,none,0,2019-03-29 14:32:15.701013,0
1902,3698323,5,data class,none,0,2019-03-29 14:32:15.703950,0
1895,3698602,1,feature envy,none,0,2019-03-29 14:31:44.077416,0
1896,3698602,1,long method,none,0,2019-03-29 14:31:44.078215,0
1897,3698665,5,feature envy,none,0,2019-03-29 14:31:54.853615,0
1898,3698665,5,long method,none,0,2019-03-29 14:31:54.853935,0
1893,3698860,5,long method,none,0,2019-03-29 14:31:41.943961,0
1894,3698860,5,feature envy,none,0,2019-03-29 14:31:41.945515,0
1899,3699227,1,feature envy,none,0,2019-03-29 14:31:55.066654,0
1900,3699227,1,long method,none,0,2019-03-29 14:31:55.069136,0
9180,3699521,20,long method,none,0,2019-07-23 14:57:19.700956,0
9181,3699521,20,feature envy,none,0,2019-07-23 14:57:19.701483,0
1887,3699849,1,blob,none,0,2019-03-29 14:31:27.002966,0
1888,3699849,1,data class,none,0,2019-03-29 14:31:27.003301,0
1891,3700134,1,long method,none,0,2019-03-29 14:31:35.812031,0
1892,3700134,1,feature envy,none,0,2019-03-29 14:31:35.812468,0
1903,3700666,5,data class,none,0,2019-03-29 14:32:44.463749,0
1904,3700666,5,blob,major,2,2019-03-29 14:32:44.464413,0
11474,3700666,3,blob,critical,3,2019-08-05 11:44:28.730758,1
11475,3700666,3,data class,major,2,2019-08-05 11:44:28.731019,1
13109,3700666,11,blob,none,0,2019-08-23 07:13:39.687730,1
13110,3700666,11,data class,none,0,2019-08-23 07:13:39.688328,1
13583,3700666,1,blob,minor,1,2019-08-30 09:19:43.919073,1
13584,3700666,1,data class,minor,1,2019-08-30 09:19:43.919731,1
14539,3700666,4,blob,none,0,2019-09-11 15:03:16.624045,1
14540,3700666,4,data class,major,2,2019-09-11 15:03:16.631971,1
6209,3701394,20,feature envy,none,0,2019-04-19 15:27:37.534469,0
6210,3701394,20,long method,none,0,2019-04-19 15:27:37.539047,0
1905,3701417,1,long method,none,0,2019-03-29 14:32:44.521060,0
1906,3701417,1,feature envy,none,0,2019-03-29 14:32:44.530456,0
9494,3701614,4,feature envy,none,0,2019-07-23 20:35:58.056618,0
9495,3701614,4,long method,none,0,2019-07-23 20:35:58.057417,0
8781,3702984,1,blob,minor,1,2019-07-19 15:07:42.377813,0
8782,3702984,1,data class,none,0,2019-07-19 15:07:42.378270,0
11966,3702984,3,data class,none,0,2019-08-05 22:49:39.038207,1
11967,3702984,3,blob,critical,3,2019-08-05 22:49:39.038787,1
12832,3702984,20,blob,minor,1,2019-08-16 13:08:59.290399,1
12833,3702984,20,data class,none,0,2019-08-16 13:08:59.292015,1
8989,3703084,15,long method,none,0,2019-07-21 12:59:50.377819,0
8990,3703084,15,feature envy,none,0,2019-07-21 12:59:50.390619,0
6183,3705164,5,data class,none,0,2019-04-19 14:15:16.404346,0
6184,3705164,5,blob,none,0,2019-04-19 14:15:16.405861,0
1907,3709545,1,long method,none,0,2019-03-29 14:33:12.113802,0
1908,3709545,1,feature envy,none,0,2019-03-29 14:33:12.114295,0
9983,3710201,4,blob,none,0,2019-07-24 15:00:09.515106,0
9984,3710201,4,data class,none,0,2019-07-24 15:00:09.515620,0
7571,3711605,3,blob,minor,1,2019-07-09 21:21:27.834418,0
7572,3711605,3,data class,none,0,2019-07-09 21:21:27.834909,0
13171,3711605,11,blob,minor,1,2019-08-23 07:20:34.537641,1
13172,3711605,11,data class,none,0,2019-08-23 07:20:34.538587,1
3483,3715636,1,data class,critical,3,2019-04-05 13:05:29.479200,0
3484,3715636,1,blob,none,0,2019-04-05 13:05:29.479723,0
10339,3715636,30,blob,none,0,2019-07-26 09:22:32.073565,1
10340,3715636,30,data class,critical,3,2019-07-26 09:22:32.074418,1
3553,3717506,1,blob,none,0,2019-04-05 13:09:12.874615,0
3554,3717506,1,data class,none,0,2019-04-05 13:09:12.874944,0
4150,3717549,23,long method,none,0,2019-04-07 09:21:01.790672,0
4151,3717549,23,feature envy,none,0,2019-04-07 09:21:01.791045,0
8559,3717906,1,feature envy,none,0,2019-07-19 12:43:41.251202,0
8560,3717906,1,long method,minor,1,2019-07-19 12:43:41.251633,0
10974,3717906,3,long method,minor,1,2019-08-01 23:34:22.668842,1
10975,3717906,3,feature envy,none,0,2019-08-01 23:34:22.669212,1
7905,3719020,3,long method,none,0,2019-07-17 19:31:55.972716,0
7906,3719020,3,feature envy,none,0,2019-07-17 19:31:55.973176,0
6185,3721456,5,blob,none,0,2019-04-19 14:16:34.145857,0
6186,3721456,5,data class,none,0,2019-04-19 14:16:34.148996,0
5348,3722097,5,feature envy,none,0,2019-04-12 15:14:05.337916,0
5349,3722097,5,long method,none,0,2019-04-12 15:14:05.340970,0
7887,3722557,3,long method,none,0,2019-07-17 19:28:01.020042,0
7888,3722557,3,feature envy,none,0,2019-07-17 19:28:01.043711,0
1911,3723043,1,data class,major,2,2019-03-29 14:33:43.547596,0
1912,3723043,1,blob,none,0,2019-03-29 14:33:43.548160,0
10705,3723043,13,data class,critical,3,2019-07-26 13:28:54.945737,1
10706,3723043,13,blob,none,0,2019-07-26 13:28:54.946242,1
11686,3723043,3,data class,critical,3,2019-08-05 15:45:18.168802,1
11687,3723043,3,blob,minor,1,2019-08-05 15:45:18.169514,1
4377,3724040,10,long method,none,0,2019-04-12 12:15:25.192546,0
4378,3724040,10,feature envy,none,0,2019-04-12 12:15:25.202833,0
8213,3725026,3,feature envy,minor,1,2019-07-18 14:13:53.934489,0
8214,3725026,3,long method,none,0,2019-07-18 14:13:53.934788,0
12880,3725026,20,long method,none,0,2019-08-16 13:19:01.562477,1
13249,3725026,1,long method,none,0,2019-08-29 11:51:28.410058,1
13250,3725026,1,feature envy,none,0,2019-08-29 11:51:28.410619,1
13325,3725026,21,feature envy,none,0,2019-08-29 13:48:54.299719,1
13326,3725026,21,long method,none,0,2019-08-29 13:48:54.300240,1
4957,3725378,20,long method,none,0,2019-04-12 14:43:29.739832,0
4958,3725378,20,feature envy,none,0,2019-04-12 14:43:29.740186,0
4745,3725605,5,data class,none,0,2019-04-12 13:22:48.738904,0
4746,3725605,5,blob,minor,1,2019-04-12 13:22:48.739286,0
11892,3725605,3,blob,minor,1,2019-08-05 21:36:22.767637,1
11893,3725605,3,data class,none,0,2019-08-05 21:36:22.769125,1
8077,3727271,3,data class,critical,3,2019-07-18 09:08:50.168832,0
8078,3727271,3,blob,critical,3,2019-07-18 09:08:50.168605,0
12232,3727271,1,data class,critical,3,2019-08-06 10:05:08.256203,1
12233,3727271,1,blob,none,0,2019-08-06 10:05:08.257248,1
13349,3727271,21,data class,major,2,2019-08-29 13:53:29.183381,1
13350,3727271,21,blob,none,0,2019-08-29 13:53:29.184330,1
6377,3727277,7,long method,none,0,2019-04-23 17:18:08.579527,0
6378,3727277,7,feature envy,none,0,2019-04-23 17:18:08.601294,0
3479,3730280,20,long method,none,0,2019-04-05 13:05:22.734348,0
3480,3730280,20,feature envy,none,0,2019-04-05 13:05:22.761379,0
5216,3732429,20,blob,minor,1,2019-04-12 15:07:25.086555,0
5217,3732429,20,data class,minor,1,2019-04-12 15:07:25.090035,0
10860,3732429,4,blob,minor,1,2019-07-29 08:21:20.927825,1
10861,3732429,4,data class,major,2,2019-07-29 08:21:20.928447,1
11616,3732429,3,blob,critical,3,2019-08-05 13:03:49.299900,1
11617,3732429,3,data class,none,0,2019-08-05 13:03:49.300220,1
