sample_id,smell,granularidade,code_name,path,start_line,end_line,mlcq_repo,github_repo,repo_status,commit_hash,is_industry_relevant,n_reviews,n_revisores,severidades,n_positivos,n_major_ou_mais,n_reviews_crosscheck,sev_max,sev_media,sev_mediana,pos_any,pos_maioria,pos_unanime,pos_any_major,foi_crosscheck,estrato
3698323,blob,class,com.amazon.ask.dispatcher.request.handler.impl.PlaybackNearlyFinishedRequestHandler,/ask-sdk-core/src/com/amazon/ask/dispatcher/request/handler/impl/PlaybackNearlyFinishedRequestHandler.java,26,59,alexa/alexa-skills-kit-sdk-for-java,test-smells-alexa-skills-kit-sdk-for-java,HASH_OK,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3698602,feature envy,function,com.amazon.ask.request.mapper.impl.BaseRequestMapper.Builder#build,/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java,79,81,alexa/alexa-skills-kit-sdk-for-java,test-smells-alexa-skills-kit-sdk-for-java,HASH_OK,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3698665,feature envy,function,"com.amazon.ask.builder.impl.AbstractSkillBuilder#addExceptionHandler GenericExceptionHandler<Input, Output>",/ask-sdk-runtime/src/com/amazon/ask/builder/impl/AbstractSkillBuilder.java,91,94,alexa/alexa-skills-kit-sdk-for-java,test-smells-alexa-skills-kit-sdk-for-java,HASH_OK,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3698860,long method,function,com.alibaba.android.arouter.facade.model.RouteMeta#toString,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java,200,213,alibaba/ARouter,test-smells-ARouter,HASH_OK,93b328569bbdbf75e4aa87f0ecf48c69600591b2,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3699227,feature envy,function,com.alibaba.android.arouter.facade.enums.#getClassName,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java,32,34,alibaba/ARouter,test-smells-ARouter,HASH_OK,93b328569bbdbf75e4aa87f0ecf48c69600591b2,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3699521,long method,function,com.alibaba.otter.canal.protocol.CanalPacket.Unsub.Builder#buildPartial,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java,7011,7019,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3699849,blob,class,com.alibaba.otter.canal.spi.CanalMetricsService,/server/src/main/java/com/alibaba/otter/canal/spi/CanalMetricsService.java,13,47,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3700134,long method,function,com.alibaba.otter.canal.common.utils.NamedThreadFactory.NamedThreadFactory String|boolean,/common/src/main/java/com/alibaba/otter/canal/common/utils/NamedThreadFactory.java,43,48,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3700666,blob,class,com.alibaba.otter.canal.protocol.CanalEntry.RowChange.Builder,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,8477,9689,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,10,5,critical|major|major|major|minor|minor|none|none|none|none,6,4,8,3,1.1,1.0,1,1,0,1,1,positivo_confiavel
3701394,feature envy,function,com.taobao.tddl.dbsync.binlog.LogBuffer#getBeUint24 int,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,441,449,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
