github_repo,status,n_producao,n_testes,n_pares,segundos,detalhe
test-smell-canal,OK,7,72,10,3,
test-smellls-rocketmq,OK,7,159,33,4,
test-smells-ARouter,OK,2,0,0,0,projeto sem classe de teste
test-smells-ApplicationInsights-Java,OK,3,164,1,5,
test-smells-ExoPlayer,OK,8,163,22,20,
test-smells-GT,OK,4,6,0,18,
test-smells-JDI,OK,3,71,0,58,
test-smells-Jprotobuf-rpc-socket,OK,3,28,2,1,
test-smells-MOE,OK,1,60,9,1,
test-smells-NullAway,OK,1,7,0,2,
test-smells-RapidView,OK,3,27,2,4,
test-smells-SapMachine,OK,138,1381,300,316,
test-smells-Spring-Integration-in-Action,OK,1,44,0,2,
test-smells-Wilma,OK,6,376,4,6,
test-smells-aCute,OK,1,22,2,1,
test-smells-acceleo,OK,7,142,6,15,
test-smells-accumulo,OK,25,378,103,4,
test-smells-accumulo-fluo,OK,6,35,1,2,
test-smells-accumulo-testing,OK,2,1,0,2,
test-smells-activemq,OK,19,1055,549,7,
test-smells-activemq-apollo,OK,1,28,1,2,
test-smells-admiral,OK,12,280,20,4,
test-smells-agera,OK,1,38,0,2,
test-smells-airavata,OK,18,40,9,4,
test-smells-alexa-skills-kit-sdk-for-java,OK,3,33,2,2,
test-smells-alibaba-druid,OK,11,1726,623,7,
test-smells-amazon-kinesis-client,OK,1,65,4,2,
test-smells-amazon-kinesis-video-streams-parser-library,OK,2,20,0,3,
test-smells-amazon-s3-developer-guide,OK,1,0,0,0,projeto sem classe de teste
test-smells-ambari,OK,24,825,75,9,
test-smells-ambry,OK,3,179,3,3,
test-smells-ant,OK,4,298,0,5,
test-smells-ant-ivy,OK,6,135,65,3,
test-smells-ant-ivyde,OK,4,3,0,2,
test-smells-apache-atlas,OK,4,138,0,3,
test-smells-apex-core,OK,4,95,13,3,
test-smells-apex-malhar,OK,11,564,8,4,
test-smells-arcgis-runtime-samples-android,OK,3,0,0,0,projeto sem classe de teste
test-smells-arcgis-runtime-samples-java,OK,3,0,0,0,projeto sem classe de teste
test-smells-archiva,OK,5,175,2,5,
test-smells-aries,OK,15,329,27,4,
test-smells-aries-jax-rs-whiteboard,OK,2,12,0,3,
test-smells-aries-jpa,OK,1,21,0,3,
test-smells-aries-rsa,OK,2,51,0,2,
test-smells-artemis,OK,16,1327,81,10,
test-smells-aspectj,OK,24,323,50,4,
test-smells-asterixdb,OK,36,310,19,7,
test-smells-atlas,ERRO,10,32,0,1,'charmap' codec can't encode characters in position 1483-1489: character maps to <undefined>
test-smells-aurora,OK,4,196,1,3,
test-smells-auto,OK,1,44,1,2,
test-smells-avro,OK,4,180,140,3,
test-smells-aws-cloudtrail-processing-library,OK,1,0,0,0,projeto sem classe de teste
test-smells-aws-doc-sdk-examples,OK,1,0,0,0,projeto sem classe de teste
test-smells-aws-maven,OK,1,0,0,0,projeto sem classe de teste
test-smells-aws-sdk-java-v2,OK,9,454,40,5,
test-smells-aws-toolkit-eclipse,OK,7,32,0,2,
test-smells-azure-chat-for-java,OK,2,0,0,0,projeto sem classe de teste
test-smells-azure-maven-plugins,OK,2,35,3,2,
test-smells-azure-tools-for-java,OK,12,23,0,2,
test-smells-bahir-flink,OK,1,23,0,2,
test-smells-beam,OK,33,1035,343,10,
test-smells-bigtop,OK,4,61,4,2,
test-smells-binnavi,OK,27,867,133,6,
test-smells-birt,OK,77,544,18,7,
test-smells-blockly-android,OK,2,44,2,2,
test-smells-bookkeeper,OK,12,471,116,6,
test-smells-bpmn2-modeler,OK,22,4,0,2,
test-smells-brooklyn-library,OK,2,160,0,3,
test-smells-brooklyn-server,OK,14,828,112,7,
test-smells-buck,OK,44,1356,113,15,
test-smells-buildship,OK,6,1,0,2,
test-smells-bval,OK,1,46,1,2,
test-smells-caja,OK,5,35,0,2,
test-smells-calcite,OK,21,159,47,5,
test-smells-caliper,OK,1,22,3,1,
test-smells-camel,OK,66,8113,5269,42,
test-smells-cassandra,OK,26,597,175,9,
test-smells-cayenne,OK,21,401,23,4,
test-smells-ceylon,OK,15,144,5,7,
test-smells-cf-java-client-sap,OK,2,16,0,1,
test-smells-cft,OK,2,7,0,2,
test-smells-che,OK,48,1041,124,9,
test-smells-che-ls-jdt,OK,1,26,1,2,
test-smells-chemistry-opencmis,OK,4,75,3,3,
test-smells-chukwa,OK,3,90,6,6,
test-smells-clerezza,OK,1,24,0,5,
test-smells-clickhouse-java,OK,1,30,1,3,
test-smells-closure-compiler,OK,6,381,146,20,
test-smells-closure-stylesheets,OK,1,104,4,2,
test-smells-closure-templates,OK,5,206,1,3,
test-smells-cloud-espm-v2,OK,2,12,2,2,
test-smells-cloud-platform-iot-starterkit,OK,1,2,0,1,
test-smells-cloudstack,OK,46,461,44,5,
test-smells-cobar,OK,5,54,1,2,
test-smells-commons-beanutils,OK,1,87,20,2,
test-smells-commons-bsf,OK,2,4,0,2,
test-smells-commons-chain,OK,4,27,7,2,
test-smells-commons-collections,OK,2,116,4,2,
test-smells-commons-compress,OK,3,138,11,3,
test-smells-commons-configuration,OK,1,165,6,3,
test-smells-commons-crypto,OK,1,21,1,2,
test-smells-commons-dbcp,OK,1,46,1,2,
test-smells-commons-dbutils,OK,1,25,1,2,
test-smells-commons-digester,OK,1,55,0,2,
test-smells-commons-functor,OK,3,166,2,2,
test-smells-commons-imaging,OK,3,116,0,2,
test-smells-commons-io,OK,2,104,4,3,
test-smells-commons-jcs,OK,6,131,3,2,
test-smells-commons-jelly,OK,3,70,0,2,
test-smells-commons-jexl,OK,1,49,25,2,
test-smells-commons-jxpath,OK,2,13,1,2,
test-smells-commons-math,OK,6,404,176,4,
test-smells-commons-net,OK,4,34,6,2,
test-smells-commons-numbers,OK,1,46,1,2,
test-smells-commons-ognl,OK,1,64,1,2,
test-smells-commons-pool,OK,1,23,3,2,
test-smells-commons-proxy,OK,1,27,0,2,
