ramo,lado,variavel,n,zeros,media,dp,min,p25,mediana,p75,p95,max,assimetria
deterministico,code_smell,blob,196,130,0.23320714285714284,0.392095239019219,0.0,0.0,0.0,0.40625,1.0416750000000001,1.625,1.6108101405785062
deterministico,code_smell,data class,114,68,0.29812105263157895,0.46228785126690347,0.0,0.0,0.0,0.5,1.5,1.8333,1.6622493988844966
deterministico,code_smell,feature envy,186,147,0.0965510752688172,0.241293390382084,0.0,0.0,0.0,0.0,0.5,1.5,3.3619066547857237
deterministico,code_smell,long method,251,197,0.19161513944223107,0.4256038172877218,0.0,0.0,0.0,0.0,1.1667,2.1667,2.2743144525262626
deterministico,code_smell,agregado,730,526,0.19942684931506852,0.39347315348754963,0.0,0.0,0.0,0.1667,1.1667,2.1667,2.143834135544146
deterministico,test_smell,Assertion Roulette,730,238,18.263013698630136,44.16000806037988,0.0,0.0,4.0,17.0,77.09999999999991,533.0,6.024129019939826
deterministico,test_smell,Conditional Test Logic,730,493,3.149315068493151,12.412697858134264,0.0,0.0,0.0,2.0,13.0,196.0,9.020467510060872
deterministico,test_smell,Dependent Test,730,630,1.4191780821917808,8.437922392564909,0.0,0.0,0.0,0.0,5.0,134.0,11.234476851019922
deterministico,test_smell,Duplicate Assert,730,486,2.245205479452055,7.212729584887829,0.0,0.0,0.0,1.0,12.0,97.0,7.176364122045015
deterministico,test_smell,Eager Test,730,334,4.502739726027397,11.101260727508414,0.0,0.0,1.0,4.0,24.0,122.0,5.452182672141891
deterministico,test_smell,Exception Catching Throwing,730,526,2.026027397260274,9.514014316877232,0.0,0.0,0.0,1.0,11.0,213.0,16.003171400644803
deterministico,test_smell,General Fixture,730,616,0.3493150684931507,1.1463095538838717,0.0,0.0,0.0,0.0,2.0,16.0,6.492766388818413
deterministico,test_smell,Lazy Test,730,313,6.916438356164384,44.885892558898185,0.0,0.0,1.0,4.0,20.549999999999955,1116.0,21.281527852687663
deterministico,test_smell,Magic Number Test,730,388,7.967123287671233,25.07216500634703,0.0,0.0,0.0,6.0,34.0,291.0,7.504967127273981
deterministico,test_smell,Mystery Guest,730,677,0.33972602739726027,2.467274962589822,0.0,0.0,0.0,0.0,1.0,54.0,15.814287147332331
deterministico,test_smell,Redundant Assertion,730,702,0.19726027397260273,2.2121979215474123,0.0,0.0,0.0,0.0,0.0,48.0,18.15580954736235
deterministico,test_smell,Resource Optimism,730,685,0.29863013698630136,2.4187478282014716,0.0,0.0,0.0,0.0,1.0,54.0,16.646267301902753
deterministico,test_smell,Verbose Test,730,445,1.626027397260274,4.445818534415156,0.0,0.0,0.0,1.0,9.0,65.0,6.53499487063574
deterministico,test_smell,ts_n_total,730,62,49.3,112.49421445266579,0.0,5.0,15.0,47.0,208.64999999999986,1552.0,6.622801288305834
deterministico,test_smell,ts_n_distintos,730,62,4.050684931506849,2.554515262641877,0.0,2.0,4.0,6.0,8.0,12.0,0.2909154066277372
deterministico,tamanho,n_testes,730,0,1.0520547945205478,0.23430695696001366,1.0,1.0,1.0,1.0,1.0,3.0,4.667272203641972
deterministico,tamanho,loc_teste,730,0,357.9219178082192,514.098553891095,18.0,98.0,181.0,383.5,1322.7999999999993,4668.0,3.747346784240519
deterministico,tamanho,n_metodos_teste,730,4,17.231506849315068,24.745505067504812,0.0,4.0,9.0,19.0,61.0,297.0,4.571316879281072
