ramo,code_smell,analise,desfecho,n,rho,p,ic_baixo,ic_alto,rho_com_tamanho
ampliado,agregado,simples,bruto,1369,0.015434,0.568354,-0.037578,0.06836,0.675252
ampliado,agregado,simples,densidade,1365,0.0029,0.914769,-0.050167,0.05595,-0.031528
ampliado,agregado,simples,distintos,1369,0.000917,0.972958,-0.052067,0.053896,0.601656
ampliado,agregado,parcial,bruto,1369,0.003893,0.88563,,,
ampliado,agregado,parcial,densidade,1365,0.003639,0.893218,,,
ampliado,agregado,parcial,distintos,1369,-0.012868,0.634471,,,
ampliado,agregado,confundidor,code smell x n_metodos_teste,1369,0.018605,0.491638,-0.03441,0.071516,
ampliado,agregado,confundidor,code smell x loc_teste,1369,0.019045,0.481436,-0.03397,0.071954,
ampliado,blob,simples,bruto,378,0.091699,0.074955,-0.009257,0.190804,0.615487
ampliado,blob,simples,densidade,377,-0.058361,0.258504,-0.158431,0.042895,-0.092835
ampliado,blob,simples,distintos,378,0.121193,0.01835,0.020575,0.219381,0.559972
ampliado,data class,simples,bruto,277,-0.048227,0.424337,-0.165146,0.070029,0.689917
ampliado,data class,simples,densidade,276,0.009474,0.875607,-0.108719,0.127403,-0.015453
ampliado,data class,simples,distintos,277,-0.07972,0.186034,-0.195738,0.0385,0.65243
ampliado,feature envy,simples,bruto,307,0.064372,0.261047,-0.047916,0.175053,0.680355
ampliado,feature envy,simples,densidade,306,0.106502,0.062754,-0.005691,0.216048,0.01092
ampliado,feature envy,simples,distintos,307,0.054753,0.339274,-0.057543,0.16568,0.581251
ampliado,long method,simples,bruto,443,0.019657,0.680054,-0.073646,0.112619,0.688389
ampliado,long method,simples,densidade,442,0.006023,0.89957,-0.087299,0.099241,-0.049185
ampliado,long method,simples,distintos,443,-0.03831,0.421401,-0.131011,0.055055,0.589929
deterministico,agregado,simples,bruto,730,0.092484,0.012392,0.020054,0.163948,0.55437
deterministico,agregado,simples,densidade,726,0.047201,0.204045,-0.025652,0.119555,-0.077079
deterministico,agregado,simples,distintos,730,0.083506,0.024019,0.011008,0.155131,0.432562
deterministico,agregado,parcial,bruto,730,0.058466,0.114768,,,
deterministico,agregado,parcial,densidade,726,0.054109,0.145575,,,
deterministico,agregado,parcial,distintos,730,0.054732,0.139889,,,
deterministico,agregado,confundidor,code smell x n_metodos_teste,730,0.079329,0.032077,0.006804,0.151024,
deterministico,agregado,confundidor,code smell x loc_teste,730,0.090839,0.014047,0.018396,0.162334,
deterministico,blob,simples,bruto,196,0.148396,0.037809,0.008416,0.282672,0.5608
deterministico,blob,simples,densidade,195,-0.004692,0.948162,-0.145111,0.135912,-0.100341
deterministico,blob,simples,distintos,196,0.100112,0.162871,-0.040613,0.236943,0.389442
deterministico,data class,simples,bruto,114,0.124152,0.188576,-0.061163,0.301192,0.444201
deterministico,data class,simples,densidade,114,0.09551,0.312815,-0.089989,0.274604,-0.095098
deterministico,data class,simples,distintos,114,0.174472,0.063287,-0.00976,0.347247,0.289891
deterministico,feature envy,simples,bruto,186,0.068847,0.350913,-0.075786,0.210642,0.530508
deterministico,feature envy,simples,densidade,185,0.070224,0.342654,-0.074805,0.212344,-0.046332
deterministico,feature envy,simples,distintos,186,0.094285,0.200804,-0.050279,0.234979,0.415211
deterministico,long method,simples,bruto,251,0.117453,0.063136,-0.006462,0.237816,0.570586
deterministico,long method,simples,densidade,249,0.081737,0.198842,-0.043019,0.203983,-0.108031
deterministico,long method,simples,distintos,251,0.087602,0.166634,-0.036617,0.209155,0.472099
