ramo,lado,variavel,n,zeros,media,dp,min,p25,mediana,p75,p95,max,assimetria
ampliado,code_smell,blob,378,261,0.20711137566137566,0.3607713052583829,0.0,0.0,0.0,0.364575,1.0,1.625,1.7181546285296845
ampliado,code_smell,data class,277,155,0.3118628158844765,0.44083804326270914,0.0,0.0,0.0,0.6,1.25,1.8333,1.3536078775785279
ampliado,code_smell,feature envy,307,249,0.08862736156351791,0.23591832771845728,0.0,0.0,0.0,0.0,0.6166899999999981,1.6667,3.5436900534752493
ampliado,code_smell,long method,443,355,0.16377787810383748,0.38651624184615063,0.0,0.0,0.0,0.0,1.0,2.3333,2.5979115030107875
ampliado,code_smell,agregado,1369,985,0.19291672753834915,0.3747883164980403,0.0,0.0,0.0,0.1667,1.0,2.3333,2.122936131497926
ampliado,test_smell,Assertion Roulette,1369,341,49.0109569028488,215.6261127365923,0.0,1.0,8.0,36.0,224.79999999999973,7108.0,26.1550038568346
ampliado,test_smell,Conditional Test Logic,1369,685,8.12856099342586,21.878809163172175,0.0,0.0,0.0,6.0,42.59999999999991,325.0,6.0545188698497
ampliado,test_smell,Dependent Test,1369,1113,2.4075967859751644,22.79030651179635,0.0,0.0,0.0,0.0,9.0,787.0,30.328274674215727
ampliado,test_smell,Duplicate Assert,1369,738,6.904309715120526,37.39535559801066,0.0,0.0,0.0,4.0,33.0,1256.0,27.67614787092441
ampliado,test_smell,Eager Test,1369,780,5.174579985390796,14.481367222239733,0.0,0.0,0.0,3.0,26.0,170.0,5.652158570889234
ampliado,test_smell,Exception Catching Throwing,1369,745,6.018991964937911,20.401157844122064,0.0,0.0,0.0,3.0,28.0,340.0,8.347127171373618
ampliado,test_smell,General Fixture,1369,971,1.276844411979547,3.9388672756393,0.0,0.0,0.0,1.0,7.0,84.0,9.364586441202384
ampliado,test_smell,Lazy Test,1369,728,5.427319211102995,17.943849600775525,0.0,0.0,0.0,4.0,25.0,369.0,10.29627324210579
ampliado,test_smell,Magic Number Test,1369,544,24.83418553688824,187.48112060919829,0.0,0.0,2.0,16.0,94.0,6587.0,31.684365342843808
ampliado,test_smell,Mystery Guest,1369,1167,0.985390796201607,4.537184559293425,0.0,0.0,0.0,0.0,5.0,76.0,8.731060483617652
ampliado,test_smell,Redundant Assertion,1369,1289,0.2717311906501096,2.08217792470885,0.0,0.0,0.0,0.0,1.0,48.0,15.543335685236624
ampliado,test_smell,Resource Optimism,1369,1196,0.733382030679328,3.5961810113470056,0.0,0.0,0.0,0.0,4.0,54.0,8.73004278263553
ampliado,test_smell,Verbose Test,1369,555,6.575602629656684,18.127642479844674,0.0,0.0,1.0,5.0,30.59999999999991,230.0,6.56782503364947
ampliado,test_smell,ts_n_total,1369,88,117.74945215485756,464.73055378195886,0.0,8.0,28.0,102.0,452.1999999999998,15366.0,26.277047840864576
ampliado,test_smell,ts_n_distintos,1369,88,5.073046018991965,3.0076286288988427,0.0,3.0,5.0,7.0,10.0,13.0,0.17591431248524128
ampliado,tamanho,n_testes,1369,0,2.436084733382031,2.1691378306800884,1.0,1.0,1.0,3.0,8.0,10.0,1.8161964881225379
ampliado,tamanho,loc_teste,1369,0,1192.45361577794,2462.3918658991006,18.0,176.0,426.0,1189.0,4968.799999999988,39546.0,7.12523180137121
ampliado,tamanho,n_metodos_teste,1369,4,48.002921840759676,97.04306629843683,0.0,8.0,20.0,52.0,168.19999999999982,1641.0,8.887232434211306
deterministico,code_smell,blob,196,130,0.23320714285714284,0.392095239019219,0.0,0.0,0.0,0.40625,1.0416750000000001,1.625,1.6108101405785062
deterministico,code_smell,data class,114,68,0.29812105263157895,0.46228785126690347,0.0,0.0,0.0,0.5,1.5,1.8333,1.6622493988844966
deterministico,code_smell,feature envy,186,147,0.0965510752688172,0.241293390382084,0.0,0.0,0.0,0.0,0.5,1.5,3.3619066547857237
deterministico,code_smell,long method,251,197,0.19161513944223107,0.4256038172877218,0.0,0.0,0.0,0.0,1.1667,2.1667,2.2743144525262626
deterministico,code_smell,agregado,730,526,0.19942684931506852,0.39347315348754963,0.0,0.0,0.0,0.1667,1.1667,2.1667,2.143834135544146
deterministico,test_smell,Assertion Roulette,730,238,18.263013698630136,44.16000806037988,0.0,0.0,4.0,17.0,77.09999999999991,533.0,6.024129019939826
deterministico,test_smell,Conditional Test Logic,730,493,3.149315068493151,12.412697858134264,0.0,0.0,0.0,2.0,13.0,196.0,9.020467510060872
deterministico,test_smell,Dependent Test,730,630,1.4191780821917808,8.437922392564909,0.0,0.0,0.0,0.0,5.0,134.0,11.234476851019922
deterministico,test_smell,Duplicate Assert,730,486,2.245205479452055,7.212729584887829,0.0,0.0,0.0,1.0,12.0,97.0,7.176364122045015
deterministico,test_smell,Eager Test,730,334,4.502739726027397,11.101260727508414,0.0,0.0,1.0,4.0,24.0,122.0,5.452182672141891
deterministico,test_smell,Exception Catching Throwing,730,526,2.026027397260274,9.514014316877232,0.0,0.0,0.0,1.0,11.0,213.0,16.003171400644803
deterministico,test_smell,General Fixture,730,616,0.3493150684931507,1.1463095538838717,0.0,0.0,0.0,0.0,2.0,16.0,6.492766388818413
deterministico,test_smell,Lazy Test,730,313,6.916438356164384,44.885892558898185,0.0,0.0,1.0,4.0,20.549999999999955,1116.0,21.281527852687663
deterministico,test_smell,Magic Number Test,730,388,7.967123287671233,25.07216500634703,0.0,0.0,0.0,6.0,34.0,291.0,7.504967127273981
deterministico,test_smell,Mystery Guest,730,677,0.33972602739726027,2.467274962589822,0.0,0.0,0.0,0.0,1.0,54.0,15.814287147332331
deterministico,test_smell,Redundant Assertion,730,702,0.19726027397260273,2.2121979215474123,0.0,0.0,0.0,0.0,0.0,48.0,18.15580954736235
deterministico,test_smell,Resource Optimism,730,685,0.29863013698630136,2.4187478282014716,0.0,0.0,0.0,0.0,1.0,54.0,16.646267301902753
